onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.036	0.33	L	3744602	3744930	813.2	635.7	1298
0.034	0.332	R	3744600	3744930	795.5	614.8	1358
0.392	6.086	L	3744958	3751042	941.0	539.6	1338
0.392	6.086	R	3744958	3751042	951.5	556.2	1421
6.534	0.122	L	3751100	3751220	1646.9	296.3	1298
6.534	0.122	R	3751100	3751220	1636.1	328.9	1348
6.718	0.456	L	3751284	3751738	1097.7	527.8	1386
6.696	0.478	R	3751262	3751738	1091.1	544.0	1457
7.216	0.382	L	3751782	3752162	647.5	545.0	1200
7.218	0.38	R	3751784	3752162	642.4	561.7	1245
7.754	0.68	L	3752320	3752998	912.4	551.9	1069
7.754	0.68	R	3752320	3752998	902.8	579.1	1078
8.596	0.046	L	3753162	3753206	941.3	487.6	1263
8.658	6.566	L	3753224	3759788	942.7	553.0	1398
8.65	6.574	R	3753216	3759788	946.2	562.0	1401
15.24	0.306	L	3759806	3760110	889.0	542.7	1688
15.24	0.308	R	3759806	3760112	911.7	544.4	1682
15.566	0.192	R	3760132	3760322	875.4	540.5	1713
15.566	0.194	L	3760132	3760324	841.5	546.5	1733
15.816	0.106	L	3760382	3760486	1760.0	670.5	1579
15.816	0.106	R	3760382	3760486	1789.6	705.7	1564
16.036	1.768	L	3760602	3762368	1776.4	677.9	1577
16.036	1.768	R	3760602	3762368	1788.7	709.9	1552
17.866	0.112	L	3762432	3762542	829.6	546.8	1688
17.87	0.108	R	3762436	3762542	836.9	530.6	1710
18.002	5.396	L	3762568	3767962	920.5	538.9	1528
18.002	5.396	R	3762568	3767962	957.6	553.4	1533
23.43	0.292	L	3767996	3768286	1234.4	551.7	1624
23.738	0.51	L	3768304	3768812	1211.3	541.3	1605
23.43	0.818	R	3767996	3768812	1256.5	547.7	1611
24.396	0.31	L	3768962	3769270	1207.5	537.4	1563
24.396	0.312	R	3768962	3769272	1255.5	562.0	1532
24.902	0.026	R	3769468	3769492	958.0	442.7	1757
24.902	2.726	L	3769468	3772192	918.0	531.9	1374
24.956	2.672	R	3769522	3772192	944.1	560.3	1378
27.648	0.07	L	3772214	3772282	860.0	542.8	1523
27.648	0.07	R	3772214	3772282	886.2	552.7	1534
27.762	0.31	R	3772328	3772636	349.6	549.7	1593
27.76	0.314	L	3772326	3772638	327.3	544.0	1591
28.09	0.428	L	3772656	3773082	296.0	536.5	1600
28.09	0.428	R	3772656	3773082	320.6	548.4	1573
28.666	0.038	L	3773232	3773268	301.7	541.8	1574
28.666	0.038	R	3773232	3773268	339.8	542.7	1532
28.75	3.334	L	3773316	3776648	898.5	552.0	1605
28.752	3.332	R	3773318	3776648	954.7	567.2	1569
32.106	0.182	L	3776672	3776852	831.2	557.8	1749
32.106	0.182	R	3776672	3776852	894.0	541.7	1772
32.328	0.302	L	3776894	3777194	289.5	532.8	1845
32.332	0.298	R	3776898	3777194	349.4	512.1	1846
32.652	0.186	L	3777218	3777402	205.1	536.6	1892
32.654	0.184	R	3777220	3777402	257.8	524.5	1891
32.952	0.96	L	3777518	3778476	191.6	556.8	1656
32.952	0.96	R	3777518	3778476	254.2	563.0	1591
33.964	0.144	R	3778530	3778672	1009.4	604.9	1401
