onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.012	0.199	L	339655	339853	995.7	445.2	1238
0.012	0.2	R	339655	339854	960.4	403.0	807
0.242	0.189	R	339885	340073	715.1	409.5	856
0.24	0.192	L	339883	340074	747.4	453.0	1256
0.471	0.098	L	340114	340211	989.2	592.6	1233
0.587	0.679	L	340230	340908	979.1	572.1	1107
0.467	0.799	R	340110	340908	959.2	522.1	821
1.298	0.262	R	340941	341202	1138.4	226.0	695
1.299	0.263	L	340942	341204	1166.1	275.5	892
1.596	0.361	L	341239	341599	1296.8	476.0	1046
1.599	0.36	R	341242	341601	1263.7	437.3	813
1.994	0.208	L	341637	341844	1011.8	548.0	1198
1.995	0.208	R	341638	341845	983.8	508.8	932
2.218	0.617	R	341861	342477	958.7	506.4	926
2.218	0.618	L	341861	342478	980.2	558.0	1202
2.873	0.598	L	342516	343113	1560.2	585.6	1250
2.875	0.596	R	342518	343113	1544.0	583.8	909
3.486	0.099	L	343129	343227	1591.9	588.7	1185
3.494	0.091	R	343137	343227	1566.1	578.3	882
3.729	0.519	L	343372	343890	1599.9	593.6	1104
3.729	0.52	R	343372	343891	1555.2	592.5	836
4.294	0.359	R	343937	344295	891.4	548.8	926
4.293	0.361	L	343936	344296	957.5	584.1	1221
4.672	2.575	R	344315	346889	961.9	554.4	940
4.673	2.576	L	344316	346891	1022.6	586.2	1181
7.392	2.548	L	347035	349582	985.0	571.8	1039
7.38	2.561	R	347023	349583	959.6	538.2	821
10.084	1.201	L	349727	350927	971.5	547.5	632
10.076	1.211	R	349719	350929	966.7	525.3	545
11.327	0.582	L	350970	351551	354.3	600.6	892
11.328	0.581	R	350971	351551	355.8	550.5	757
12.033	0.489	L	351676	352164	338.9	607.8	1057
12.033	0.495	R	351676	352170	360.6	540.5	872
12.676	0.338	R	352319	352656	358.8	577.0	941
12.682	0.333	L	352325	352657	338.9	631.5	1134
13.053	5.607	L	352696	358302	992.9	564.6	1196
18.798	0.182	L	358441	358622	957.9	569.3	854
13.058	5.929	R	352701	358629	979.9	562.9	976
19.084	0.19	L	358727	358916	974.0	592.0	700
19.084	0.192	R	358727	358918	968.0	566.0	607
19.313	0.905	L	358956	359860	319.3	579.0	787
19.316	0.902	R	358959	359860	334.6	515.6	679
