participant_id	trial_type	accuracy
sub-23985	BY	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	BY	1
sub-23985	BY	1
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AY	1
sub-23985	BY	1
sub-23985	AX	1
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	0
sub-23985	BY	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	0
sub-23985	BX	1
sub-23985	AX	0
sub-23985	BY	1
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BY	1
sub-23985	AX	0
sub-23985	AX	0
sub-23985	BY	1
sub-23985	AX	1
sub-23985	BX	1
sub-23985	AX	1
sub-23985	AY	1
sub-23985	AX	1
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AY	1
sub-23985	n/a	n/a
sub-23985	AY	0
sub-23985	AX	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BX	1
sub-23985	BY	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AY	0
sub-23985	AY	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BY	1
sub-23985	AX	1
sub-23985	BX	1
sub-23985	AX	1
sub-23985	BX	0
sub-23985	AX	1
sub-23985	BX	0
sub-23985	BX	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BY	1
sub-23985	AX	1
sub-23985	BY	0
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BX	1
sub-23985	AX	1
sub-23985	BX	0
sub-23985	n/a	n/a
sub-23985	AX	1
sub-23985	BX	0
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BY	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BY	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BX	0
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	1
sub-23985	AX	0
sub-23985	AX	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BY	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BX	0
sub-23985	AX	1
sub-23985	BX	0
sub-23985	AY	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	BX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	0
sub-23985	AX	1
sub-23985	BX	0
sub-23985	AX	1
sub-23985	AX	1
sub-23985	AX	1
sub-23985	n/a	n/a
