participant_id	WASI_score
sub-20950	106
sub-21163	86
sub-21376	115
sub-21666	105
sub-21835	130
sub-22434	132
sub-22485	119
sub-22498	118
sub-22686	109
sub-22705	103
sub-22818	101
sub-22857	88
sub-22862	115
sub-22881	120
sub-23032	103
sub-23069	116
sub-23072	110
sub-23123	118
sub-23159	100
sub-23170	125
sub-23262	119
sub-23294	95
sub-23405	111
sub-23410	105
sub-23481	119
sub-23482	102
sub-23517	116
sub-23534	113
sub-23545	86
sub-23558	99
sub-23559	109
sub-23567	102
sub-23568	101
sub-23601	116
sub-23622	135
sub-23628	114
sub-23629	108
sub-23633	125
sub-23636	115
sub-23657	117
sub-23658	103
sub-23664	105
sub-23675	119
sub-23677	99
sub-23679	116
sub-23680	100
sub-23683	119
sub-23690	123
sub-23707	106
sub-23710	118
sub-23724	99
sub-23735	106
sub-23748	99
sub-23749	118
sub-23760	128
sub-23762	113
sub-23771	113
sub-23776	127
sub-23778	101
sub-23779	109
sub-23782	112
sub-23787	115
sub-23790	122
sub-23793	118
sub-23797	102
sub-23800	91
sub-23802	77
sub-23807	127
sub-23822	127
sub-23832	111
sub-23836	110
sub-23840	124
sub-23842	112
sub-23855	126
sub-23865	92
sub-23869	107
sub-23871	99
sub-23872	127
sub-23873	115
sub-23878	105
sub-23879	126
sub-23883	127
sub-23887	70
sub-23891	86
sub-23892	131
sub-23896	96
sub-23897	129
sub-23898	117
sub-23904	134
sub-23910	90
sub-23916	n/a
sub-23921	103
sub-23923	103
sub-23925	129
sub-23926	99
sub-23936	134
sub-23939	111
sub-23945	112
sub-23946	102
sub-23947	118
sub-23950	121
sub-23961	n/a
sub-23971	111
sub-23972	117
sub-23973	104
sub-23975	97
sub-23979	116
sub-23985	98
sub-23986	97
sub-23987	109
sub-23990	122
sub-23991	118
sub-23993	140
sub-23994	121
sub-23995	110
sub-23996	135
sub-23998	103
sub-24004	118
sub-24007	108
sub-24010	102
sub-24011	113
sub-24015	121
sub-24016	106
sub-24017	122
sub-24018	118
sub-24021	112
sub-24022	108
sub-24024	127
sub-24026	116
sub-24029	117
sub-24032	109
sub-24033	107
sub-24034	98
sub-24035	114
sub-24038	117
sub-24039	92
sub-24040	137
sub-24041	129
sub-24042	102
sub-24050	102
sub-24051	121
sub-24062	102
sub-24063	122
sub-24067	114
sub-24069	96
sub-24073	109
sub-24074	99
sub-24075	90
sub-24076	n/a
sub-24079	98
sub-24089	113
sub-24091	118
sub-24096	130
sub-24099	109
sub-24104	122
sub-24106	116
sub-24118	104
sub-24127	117
sub-24129	105
sub-24139	127
sub-24140	99
sub-24141	112
sub-24142	118
sub-24145	114
sub-24146	117
sub-24148	85
sub-24151	122
sub-24155	99
sub-24157	102
sub-24159	117
sub-24162	122
sub-24165	104
sub-24170	n/a
sub-24171	99
sub-24178	120
sub-24182	95
sub-24184	144
sub-24189	114
sub-24197	n/a
sub-24219	139
sub-24236	143
sub-24237	100
sub-24239	121
sub-24240	114
sub-24243	101
sub-24244	122
sub-24246	114
sub-24248	110
sub-24249	108
sub-24250	117
sub-24254	118
sub-24260	102
sub-24262	114
sub-24270	101
sub-24272	78
sub-24274	145
sub-24275	114
sub-24276	136
sub-24279	123
sub-24292	89
sub-24300	117
sub-24312	100
sub-24316	106
sub-24369	122
sub-24374	105
sub-24375	140
sub-24393	124
sub-24395	n/a
sub-24396	n/a
sub-24402	117
sub-24406	n/a
sub-24408	n/a
sub-24423	109
sub-24427	n/a
sub-24428	97
sub-24429	n/a
sub-24433	121
sub-24446	106
sub-24450	100
sub-24453	136
