participant_id	condition	accuracy	reaction_time
sub-24104	congruent	1	1.120
sub-24104	congruent	1	0.511
sub-24104	congruent	1	0.486
sub-24104	incongruent	1	0.606
sub-24104	incongruent	1	0.752
sub-24104	incongruent	1	0.714
sub-24104	congruent	1	0.537
sub-24104	incongruent	1	0.666
sub-24104	incongruent	1	0.559
sub-24104	incongruent	1	0.720
sub-24104	congruent	1	0.470
sub-24104	incongruent	0	0.492
sub-24104	congruent	1	0.573
sub-24104	congruent	1	0.577
sub-24104	incongruent	1	0.763
sub-24104	incongruent	1	0.656
sub-24104	congruent	1	0.413
sub-24104	congruent	1	0.503
sub-24104	incongruent	1	0.471
sub-24104	congruent	1	0.500
sub-24104	incongruent	1	0.634
sub-24104	incongruent	0	0.441
sub-24104	incongruent	1	0.587
sub-24104	incongruent	0	0.682
sub-24104	congruent	1	0.696
sub-24104	congruent	1	0.800
sub-24104	incongruent	1	0.694
sub-24104	incongruent	1	0.702
sub-24104	incongruent	1	0.759
sub-24104	congruent	1	0.563
sub-24104	congruent	1	0.798
sub-24104	congruent	1	0.519
sub-24104	congruent	1	0.654
sub-24104	incongruent	0	0.613
sub-24104	congruent	1	0.612
sub-24104	congruent	1	0.526
sub-24104	congruent	1	0.452
sub-24104	congruent	1	0.438
sub-24104	congruent	1	0.584
sub-24104	congruent	1	0.516
sub-24104	incongruent	1	0.556
sub-24104	congruent	1	0.695
sub-24104	congruent	1	1.049
sub-24104	incongruent	1	0.878
sub-24104	congruent	0	0.893
sub-24104	congruent	1	0.741
sub-24104	congruent	1	0.841
sub-24104	incongruent	1	1.439
sub-24104	incongruent	1	1.197
sub-24104	congruent	1	0.651
sub-24104	incongruent	1	0.981
sub-24104	incongruent	1	1.074
sub-24104	incongruent	1	0.835
sub-24104	incongruent	1	0.655
sub-24104	incongruent	0	1.091
sub-24104	incongruent	1	0.996
sub-24104	congruent	1	0.677
sub-24104	incongruent	1	0.782
sub-24104	congruent	1	0.722
sub-24104	incongruent	0	0.998
sub-24104	congruent	1	1.338
sub-24104	incongruent	1	0.682
sub-24104	incongruent	1	0.485
sub-24104	congruent	1	0.458
sub-24104	incongruent	0	0.568
sub-24104	congruent	1	0.479
sub-24104	incongruent	1	0.501
sub-24104	incongruent	0	0.376
sub-24104	congruent	1	0.498
sub-24104	incongruent	0	0.389
sub-24104	congruent	1	0.511
sub-24104	congruent	1	0.397
sub-24104	congruent	1	0.546
sub-24104	congruent	1	0.394
sub-24104	congruent	1	0.503
sub-24104	congruent	1	0.399
sub-24104	incongruent	1	0.601
sub-24104	congruent	1	0.538
sub-24104	congruent	1	0.493
sub-24104	congruent	1	0.413
sub-24104	incongruent	1	0.611
sub-24104	incongruent	1	1.065
sub-24104	congruent	1	0.909
sub-24104	congruent	1	0.418
sub-24104	incongruent	1	0.387
sub-24104	incongruent	0	0.415
sub-24104	incongruent	0	0.414
sub-24104	incongruent	1	0.707
sub-24104	congruent	1	0.522
sub-24104	incongruent	0	0.352
sub-24104	congruent	1	0.405
sub-24104	congruent	1	0.474
sub-24104	congruent	1	0.577
sub-24104	incongruent	0	0.747
sub-24104	incongruent	1	0.771
sub-24104	incongruent	1	0.894
sub-24104	congruent	1	0.713
sub-24104	congruent	1	0.503
sub-24104	congruent	1	0.524
sub-24104	incongruent	0	0.365
sub-24104	congruent	1	0.407
sub-24104	incongruent	0	0.379
sub-24104	congruent	1	0.443
sub-24104	congruent	1	0.445
sub-24104	incongruent	1	0.900
sub-24104	incongruent	1	0.849
sub-24104	incongruent	1	0.621
sub-24104	congruent	1	0.610
sub-24104	incongruent	1	0.809
