onset	duration	eye	startTime	stopTime
12.703	0.119	L	653960	654078
12.704	0.134	R	653961	654094
21.538	0.058	L	662795	662852
21.533	0.081	R	662790	662870
25.703	0.117	L	666960	667076
25.7	0.141	R	666957	667097
27.107	0.105	L	668364	668468
27.134	0.1	R	668391	668490
31.022	0.085	L	672279	672363
31.022	0.107	R	672279	672385
40.053	0.073	L	681310	681382
40.059	0.099	R	681316	681414
43.18	0.385	L	684437	684821
43.182	0.413	R	684439	684851
54.237	0.075	R	695494	695568
54.234	0.088	L	695491	695578
54.581	0.103	L	695838	695940
54.581	0.114	R	695838	695951
67.135	0.115	L	708392	708506
67.134	0.139	R	708391	708529
76.655	0.068	R	717912	717979
76.656	0.074	L	717913	717986
81.107	0.012	L	722364	722375
81.131	0.012	R	722388	722399
81.784	0.112	L	723041	723152
81.786	0.13	R	723043	723172
161.714	0.001	R	802971	802971
162.27	0.077	R	803527	803603
162.273	0.076	L	803530	803605
178.151	0.037	R	819408	819444
178.152	0.057	L	819409	819465
189.383	0.009	L	830640	830648
189.354	0.042	R	830611	830652
191.803	0.043	R	833060	833102
191.809	0.049	L	833066	833114
192.607	0.089	R	833864	833952
192.611	0.092	L	833868	833959
195.109	0.076	R	836366	836441
195.114	0.079	L	836371	836449
196.032	0.096	L	837289	837384
196.038	0.137	R	837295	837431
214.472	0.201	R	855729	855929
214.494	0.19	L	855751	855940
216.161	0.153	L	857418	857570
216.161	0.153	R	857418	857570
219.973	0.066	L	861230	861295
219.968	0.106	R	861225	861330
230.94	0.13	R	872197	872326
230.943	0.135	L	872200	872334
232.852	0.118	L	874109	874226
232.854	0.141	R	874111	874251
233.766	0.109	R	875023	875131
233.762	0.129	L	875019	875147
234.736	1.748	L	875993	877740
234.735	1.749	R	875992	877740
236.602	0.332	L	877859	878190
236.602	0.332	R	877859	878190
250.245	0.05	R	891502	891551
250.245	0.062	L	891502	891563
254.188	0.033	R	895445	895477
254.191	0.038	L	895448	895485
260.507	0.022	R	901764	901785
260.503	0.058	L	901760	901817
261.181	0.522	L	902438	902959
261.181	0.522	R	902438	902959
264.371	0.317	R	905628	905944
264.371	0.318	L	905628	905945
264.888	0.12	L	906145	906264
264.887	0.186	R	906144	906329
266.707	3.444	L	907964	911407
266.707	3.444	R	907964	911407
270.248	0.384	L	911505	911888
270.248	0.384	R	911505	911888
274.314	0.064	L	915571	915634
274.308	0.073	R	915565	915637
275.341	0.097	R	916598	916694
275.342	0.1	L	916599	916698
279.941	0.11	L	921198	921307
279.939	0.174	R	921196	921369
286.494	0.073	R	927751	927823
286.493	0.083	L	927750	927832
287.04	0.082	R	928297	928378
287.025	0.123	L	928282	928404
298.407	0.038	L	939664	939701
298.401	0.052	R	939658	939709
308.864	0.097	L	950121	950217
308.864	0.097	R	950121	950217
309.269	0.294	L	950526	950819
309.264	0.301	R	950521	950821
312.881	0.005	R	954138	954142
312.879	0.013	L	954136	954148
313.094	0.345	L	954351	954695
313.102	0.444	R	954359	954802
315.994	0.359	L	957251	957609
315.994	0.365	R	957251	957615
317.361	0.084	L	958618	958701
317.373	0.083	R	958630	958712
317.76	0.23	R	959017	959246
317.79	0.202	L	959047	959248
322.565	0.068	R	963822	963889
322.565	0.077	L	963822	963898
328.285	0.047	R	969542	969588
328.264	0.105	L	969521	969625
328.614	0.597	L	969871	970467
329.084	0.127	R	970341	970467
333.044	1.488	L	974301	975788
335.336	0.112	R	976593	976704
334.669	0.94	L	975926	976865
336.703	0.079	R	977960	978038
336.711	0.074	L	977968	978041
693.196	0.11	L	1334453	1334562
693.167	0.153	R	1334424	1334576
696.73	0.129	L	1337987	1338115
696.735	0.217	R	1337992	1338208
698.289	0.09	L	1339546	1339635
698.283	0.098	R	1339540	1339637
700.448	0.303	R	1341705	1342007
712.089	0.03	L	1353346	1353375
712.023	0.096	R	1353280	1353375
712.734	0.241	L	1353991	1354231
718.82	0.029	L	1360077	1360105
719.099	0.119	L	1360356	1360474
718.805	0.455	R	1360062	1360516
720.735	0.146	L	1361992	1362137
720.851	0.03	R	1362108	1362137
721.566	0.032	L	1362823	1362854
721.401	0.545	R	1362658	1363202
721.791	1.341	L	1363048	1364388
723.243	0.108	L	1364500	1364607
723.245	0.689	R	1364502	1365190
725.818	1.002	L	1367075	1368076
725.77	1.075	R	1367027	1368101
727.719	0.096	R	1368976	1369071
727.716	0.104	L	1368973	1369076
732.569	0.058	L	1373826	1373883
732.559	0.068	R	1373816	1373883
732.757	0.226	L	1374014	1374239
733.761	0.283	L	1375018	1375300
732.757	1.287	R	1374014	1375300
753.115	0.043	L	1394372	1394414
