participant_id	trial_type	accuracy
sub-23896	BY	0
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	1
sub-23896	BY	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	0
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AY	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BX	0
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	0
sub-23896	AX	0
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	AY	0
sub-23896	AX	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AY	1
sub-23896	n/a	n/a
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	0
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AY	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	0
sub-23896	AX	1
sub-23896	AX	0
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	BX	0
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	0
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	n/a	n/a
sub-23896	AX	0
sub-23896	BX	1
sub-23896	AY	0
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	0
sub-23896	AX	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AY	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	BX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	AX	1
sub-23896	n/a	n/a
