onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.034	0.206	R	1291628	1291833	1246.6	548.0	1060.9	469.8	4.74	1932
0.04	0.214	L	1291634	1291847	1203.2	602.1	1019.9	529.8	4.63	1410
0.277	0.025	R	1291871	1291895	1060.4	472.1	1062.3	515.0	1.02	77
0.435	0.027	L	1292029	1292055	1008.6	549.2	955.5	556.8	1.27	124
0.435	0.03	R	1292029	1292058	1063.1	515.5	1020.0	520.9	1.03	121
2.884	0.059	R	1294478	1294536	1012.5	506.2	1602.3	487.0	13.43	422
2.884	0.071	L	1294478	1294548	954.9	550.5	1534.3	528.4	13.18	423
3.871	0.033	R	1295465	1295497	1064.3	510.9	952.6	517.2	2.63	191
3.871	0.035	L	1295465	1295499	1022.5	558.2	902.8	562.2	2.81	184
4.243	0.146	L	1295837	1295982	915.4	573.7	999.9	554.5	2.03	1501
4.237	0.175	R	1295831	1296005	953.7	525.4	1026.8	505.9	1.77	1657
4.678	0.019	R	1296272	1296290	1025.3	482.6	995.5	497.0	0.76	80
4.676	0.022	L	1296270	1296291	985.0	546.3	947.5	562.8	0.94	82
11.016	0.028	L	1302610	1302637	939.3	549.9	892.9	548.6	1.08	135
11.016	0.028	R	1302610	1302637	1010.8	510.0	967.3	502.2	1.03	132
11.079	0.047	L	1302673	1302719	887.4	541.2	623.0	531.6	6.13	267
11.079	0.048	R	1302673	1302720	963.0	494.6	714.7	502.7	5.76	248
11.273	0.014	R	1302867	1302880	710.6	513.3	731.4	507.2	0.50	52
12.876	0.029	R	1304470	1304498	967.9	512.6	1039.8	510.8	1.68	133
12.875	0.031	L	1304469	1304499	911.7	520.1	983.3	521.3	1.67	148
13.065	0.023	L	1304659	1304681	981.6	519.0	943.9	525.0	0.89	100
13.063	0.025	R	1304657	1304681	1040.3	505.5	1004.2	515.2	0.87	100
14.273	0.192	L	1305867	1306058	949.2	525.3	964.9	516.8	0.42	1934
14.269	0.23	R	1305863	1306092	1009.2	511.8	1014.9	524.7	0.33	1533
15.288	0.048	L	1306882	1306929	959.9	518.2	653.8	515.0	7.09	313
15.288	0.049	R	1306882	1306930	989.6	541.2	689.7	541.8	6.95	290
16.331	0.046	L	1307925	1307970	650.9	506.8	941.9	510.4	6.74	289
16.331	0.048	R	1307925	1307972	699.5	530.4	990.0	506.8	6.75	292
17.805	0.061	R	1309399	1309459	989.9	525.3	1470.7	535.8	11.00	351
17.804	0.072	L	1309398	1309469	933.7	508.2	1424.1	548.1	11.25	346
17.92	0.024	L	1309514	1309537	1431.9	550.5	1454.2	486.8	1.55	184
18.184	0.051	R	1309778	1309828	1475.6	534.4	1088.0	513.3	8.85	346
18.183	0.085	L	1309777	1309861	1450.8	488.9	1022.9	505.1	9.78	438
19.97	0.024	R	1311564	1311587	1071.8	490.1	1023.5	495.2	1.13	107
19.969	0.026	L	1311563	1311588	1014.4	522.9	961.1	522.7	1.24	117
22.254	0.159	L	1313848	1314006	933.3	536.9	951.6	542.2	0.44	2269
22.247	0.224	R	1313841	1314064	1031.6	486.2	1038.6	502.4	0.41	3270
23.706	0.054	L	1315300	1315353	948.7	534.9	575.9	528.5	8.62	311
23.707	0.053	R	1315301	1315353	1015.2	531.7	667.7	548.5	8.04	261
23.962	0.049	L	1315556	1315604	574.2	525.0	408.4	511.4	3.79	260
23.962	0.051	R	1315556	1315606	674.6	535.6	516.2	513.3	3.64	243
24.792	0.034	L	1316386	1316419	843.1	506.3	991.7	517.7	3.47	244
24.792	0.036	R	1316386	1316421	926.3	495.3	1067.4	496.1	3.29	210
24.927	0.217	R	1316521	1316737	1068.7	507.8	1032.7	487.1	0.97	1837
24.937	0.209	L	1316531	1316739	990.8	518.1	963.8	507.7	0.67	1863
25.184	0.023	R	1316778	1316800	1030.7	483.7	1027.5	528.5	1.05	108
30.124	0.12	L	1321718	1321837	966.9	554.3	967.3	542.2	0.28	1989
30.115	0.144	R	1321709	1321852	997.8	533.8	1002.8	525.7	0.22	1822
30.355	0.158	L	1321949	1322106	966.2	557.8	952.5	532.3	0.68	1740
30.351	0.191	R	1321945	1322135	1003.9	541.6	980.7	530.0	0.61	1749
31.926	0.072	R	1323520	1323591	995.9	519.4	1662.1	519.6	14.97	388
