participant_id	trial_type	accuracy
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	0
sub-24171	AX	1
sub-24171	BY	1
sub-24171	BY	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AY	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AY	0
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AY	1
sub-24171	n/a	n/a
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AY	0
sub-24171	AX	1
sub-24171	AY	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	BX	0
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	n/a	n/a
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AY	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	BX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	AX	1
sub-24171	n/a	n/a
