onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.15	0.024	L	750044	750066	879.9	665.3	945.9	631.9	1.38	75
0.15	0.024	R	750044	750066	894.8	719.4	961.9	689.1	1.38	76
0.386	0.026	L	750280	750304	965.2	644.1	961.5	545.0	1.86	111
0.386	0.026	R	750280	750304	976.3	685.1	982.9	572.6	2.11	126
2.728	0.042	R	752622	752662	977.2	580.6	1306.2	617.9	6.14	227
2.73	0.042	L	752624	752664	962.4	527.5	1277.6	554.6	5.86	204
3.826	0.026	L	753720	753744	1012.9	542.5	912.5	536.7	1.88	104
3.826	0.026	R	753720	753744	1044.7	583.7	949.2	575.2	1.79	99
4.532	0.028	L	754426	754452	903.2	536.7	1000.7	522.1	1.84	80
4.532	0.028	R	754426	754452	946.3	588.7	1036.2	575.0	1.70	73
4.714	0.018	L	754608	754624	1017.5	524.5	971.0	528.5	0.87	65
4.714	0.018	R	754608	754624	1053.6	582.1	1006.2	583.6	0.89	63
11.11	0.056	L	761004	761058	950.6	509.4	317.6	463.0	11.73	324
11.112	0.056	R	761006	761060	968.3	586.8	351.8	570.7	11.40	286
12.144	0.038	R	762038	762074	653.6	563.6	955.9	597.3	5.69	241
12.144	0.04	L	762038	762076	607.5	477.9	916.5	521.2	5.84	221
14.694	0.024	R	764588	764610	988.2	581.6	1003.3	656.0	1.41	74
14.694	0.026	L	764588	764612	939.1	510.3	971.7	632.9	2.36	121
15.388	0.056	R	765282	765336	976.6	583.9	1633.6	619.6	11.93	338
15.39	0.056	L	765284	765338	944.3	513.7	1597.2	541.3	11.85	310
16.484	0.034	L	766378	766410	1199.5	550.9	963.8	531.2	4.39	200
16.484	0.038	R	766378	766414	1218.0	605.5	967.5	587.6	4.66	187
19.744	0.046	L	769638	769682	967.6	522.8	1286.3	501.4	5.92	177
19.742	0.048	R	769636	769682	976.6	587.8	1337.3	584.2	6.69	213
19.904	0.05	L	769798	769846	1406.9	505.4	1863.0	477.5	8.02	227
19.904	0.052	R	769798	769848	1445.8	565.0	1918.0	433.2	8.63	245
20.068	0.136	L	769962	770096	1874.0	476.9	140.0	485.3	30.08	383
20.066	0.14	R	769960	770098	1925.8	486.7	182.5	563.3	30.25	382
20.432	0.026	L	770326	770350	173.7	487.1	280.3	468.4	1.95	110
20.434	0.026	R	770328	770352	223.9	567.1	342.3	554.3	2.15	128
20.828	0.028	L	770722	770748	880.3	479.6	1016.5	506.6	2.60	151
20.83	0.026	R	770724	770748	916.9	562.9	1045.5	581.1	2.43	149
21.186	0.016	R	771080	771094	1059.0	595.9	1087.6	616.4	0.66	51
21.682	0.018	L	771576	771592	1049.7	544.7	1006.3	530.2	0.85	59
21.68	0.022	R	771574	771594	1075.0	618.1	1022.5	595.9	1.07	63
24.122	0.06	R	774016	774074	992.5	588.1	1628.5	630.6	11.59	296
24.124	0.06	L	774018	774076	983.5	534.5	1601.9	569.7	11.26	281
26.466	0.026	R	776360	776384	978.3	604.3	879.3	590.4	1.87	94
26.466	0.028	L	776360	776386	954.0	526.0	824.0	512.6	2.45	124
26.834	0.024	L	776728	776750	817.5	516.7	893.4	510.6	1.42	87
26.834	0.024	R	776728	776750	847.8	601.3	923.6	599.2	1.42	81
27.054	0.018	L	776948	776964	911.0	512.5	952.1	515.7	0.77	57
27.052	0.02	R	776946	776964	938.2	593.7	990.6	600.8	0.99	64
28.368	0.096	L	778262	778356	980.2	531.1	1922.6	364.0	16.99	234
28.368	0.1	R	778262	778360	1000.0	604.3	1949.9	252.8	18.03	247
29.362	0.062	L	779256	779316	1911.1	410.7	1088.7	505.4	14.66	325
29.36	0.068	R	779254	779320	1948.4	352.1	1138.8	581.0	14.93	340
29.914	0.02	R	779808	779826	1109.8	580.6	1058.4	580.8	0.96	64
29.914	0.022	L	779808	779828	1078.8	526.3	1019.5	524.0	1.11	70
29.982	0.022	L	779876	779896	1004.3	546.0	1005.8	621.7	1.41	94
29.972	0.06	R	779866	779924	1048.4	597.3	1047.8	693.9	1.81	246
36.726	0.084	L	786620	786702	971.4	548.6	200.5	373.9	14.52	260
36.728	0.084	R	786622	786704	978.4	583.8	249.2	429.6	13.69	240
37.802	0.058	R	787696	787752	205.9	481.5	747.5	507.7	9.93	265
37.802	0.06	L	787696	787754	195.5	417.5	731.2	467.2	9.86	246
38.664	0.028	L	788558	788584	817.9	541.1	923.2	534.5	1.98	82
38.664	0.03	R	788558	788586	809.6	580.3	917.0	572.1	2.02	85
45.338	0.044	L	795232	795274	953.4	534.5	585.8	499.5	6.90	218
45.338	0.046	R	795232	795276	992.9	598.4	637.7	577.6	6.64	204
46.52	0.028	L	796414	796440	809.1	517.0	935.0	523.2	2.36	115
46.52	0.028	R	796414	796440	848.2	585.1	972.8	591.6	2.34	111
53.628	0.044	L	803522	803564	975.0	561.8	630.1	523.1	6.49	217
53.628	0.046	R	803522	803566	979.9	604.8	652.4	579.9	6.15	175
55.392	0.148	L	805286	805432	877.3	555.5	894.7	591.7	0.75	890
55.388	0.162	R	805282	805442	869.4	599.5	910.1	628.2	0.93	1057
55.754	0.02	L	805648	805666	904.4	577.4	953.9	561.6	0.98	61
55.752	0.022	R	805646	805666	907.6	604.8	966.7	585.0	1.17	69
59.968	0.018	R	809862	809878	963.9	589.5	987.5	560.8	0.70	54
62.008	0.118	R	811902	812018	992.9	589.7	1832.4	-291.1	21.95	484
62.01	0.124	L	811904	812026	984.8	549.8	2014.1	142.6	19.73	261
63.036	0.14	L	812930	813068	2004.4	175.4	959.8	595.0	19.99	331
63.038	0.164	R	812932	813094	1830.6	-288.1	991.6	625.2	22.39	881
70.38	0.056	R	820274	820328	990.9	632.7	1570.7	668.1	10.63	283
70.38	0.058	L	820274	820330	969.9	592.2	1548.9	623.1	10.61	263
70.712	0.02	R	820606	820624	1579.6	675.1	1628.3	664.0	0.89	61
70.714	0.02	L	820608	820626	1569.5	617.7	1621.2	611.7	0.92	62
71.322	0.052	L	821216	821266	1629.7	621.4	1068.8	555.9	10.29	289
71.322	0.056	R	821216	821270	1630.9	655.6	1069.4	582.4	10.32	257
71.898	0.128	L	821792	821918	1028.1	563.0	1036.5	701.0	2.59	603
71.898	0.148	R	821792	821938	1034.8	591.5	1039.8	656.6	1.23	678
74.686	0.094	L	824580	824672	993.9	560.1	1885.9	507.8	15.94	238
74.686	0.094	R	824580	824672	1001.4	595.5	1903.4	465.0	16.27	240
75.754	0.02	R	825648	825666	1080.1	598.1	1031.0	586.6	0.94	60
75.754	0.022	L	825648	825668	1086.2	560.9	1025.0	550.4	1.16	70
75.82	0.072	L	825714	825784	1013.2	571.0	1089.9	848.5	5.28	645
75.818	0.104	R	825712	825814	1019.4	612.3	1028.6	765.3	2.86	784
77.304	0.268	R	827198	827464	990.2	617.4	1011.7	637.0	0.55	957
77.304	0.284	L	827198	827480	972.8	576.9	983.1	627.1	0.97	862
82.984	0.046	R	832878	832922	998.0	609.1	1365.4	620.0	6.81	210
82.984	0.048	L	832878	832924	994.7	563.9	1357.0	568.4	6.71	189
84.08	0.064	L	833974	834036	1133.0	572.1	1929.8	1069.4	16.73	946
84.082	0.072	R	833976	834046	1131.5	621.8	1608.4	1054.7	11.47	688
84.176	0.146	R	834070	834214	1567.8	1018.2	1082.5	713.1	10.28	656
84.168	0.166	L	834062	834226	1921.8	1092.4	1071.6	662.6	16.93	1910
84.508	0.324	R	834402	834724	1063.8	661.5	1016.9	687.0	0.99	908
84.508	0.354	L	834402	834754	1058.6	600.9	1046.1	715.7	2.16	1433
91.274	0.062	L	841168	841228	982.0	566.2	338.6	533.6	11.91	309
91.274	0.064	R	841168	841230	987.8	588.1	350.7	601.0	11.78	270
92.492	0.088	R	842386	842472	817.6	571.4	873.0	778.1	3.99	925
92.486	0.114	L	842380	842492	792.3	522.1	890.5	808.1	5.65	592
93.242	0.022	L	843136	843156	882.4	525.8	946.8	542.5	1.25	79
93.24	0.024	R	843134	843156	896.2	556.9	967.5	582.4	1.42	79
99.642	0.092	L	849536	849626	955.0	579.5	198.7	681.9	13.96	201
99.642	0.094	R	849536	849628	967.3	595.2	230.8	644.0	13.49	190
114.786	0.018	R	864680	864696	948.5	595.6	987.4	590.7	0.74	53
115.402	0.198	R	865296	865492	1002.8	592.5	1041.8	732.8	2.73	776
115.4	0.226	L	865294	865518	963.7	564.8	993.4	649.2	1.69	1973
117.166	0.086	L	867060	867144	984.7	575.6	1831.6	492.7	15.28	235
117.164	0.088	R	867058	867144	999.2	614.1	1863.2	469.6	15.74	239
118.866	0.062	L	868760	868820	1833.0	542.0	1065.8	543.2	13.74	324
118.864	0.068	R	868758	868824	1871.0	526.3	1111.3	599.8	13.67	308
119.066	0.024	L	868960	868982	1066.8	554.7	979.4	548.9	1.64	108
119.066	0.024	R	868960	868982	1091.5	609.5	1009.8	605.5	1.54	97
120.92	0.046	L	870814	870858	950.1	548.9	648.3	522.4	5.71	173
120.92	0.048	R	870814	870860	984.7	575.5	694.7	559.5	5.47	156
121.08	0.074	R	870974	871046	721.8	559.7	1541.2	599.2	15.14	288
121.08	0.076	L	870974	871048	687.7	519.2	1512.4	567.1	15.23	277
121.498	0.058	L	871392	871448	1494.1	588.5	598.1	517.8	16.54	469
121.498	0.06	R	871392	871450	1531.0	644.7	654.3	573.9	16.19	394
122.216	0.04	R	872110	872148	662.9	573.1	1012.9	600.8	6.62	257
122.218	0.04	L	872112	872150	629.4	526.8	962.8	554.4	6.31	231
123.106	0.172	L	873000	873170	981.0	554.4	993.6	679.0	2.36	1026
123.104	0.176	R	872998	873172	1018.9	618.1	1020.6	749.6	2.48	829
124.508	0.036	L	874402	874436	973.8	550.1	685.3	514.4	5.49	235
124.508	0.038	R	874402	874438	991.4	609.5	737.4	581.6	4.82	187
124.58	0.108	R	874474	874580	735.6	578.3	1744.2	502.6	18.39	218
124.578	0.112	L	874472	874582	699.0	511.7	1728.9	488.3	18.71	221
125.824	0.062	L	875718	875778	1715.0	572.1	1060.9	573.6	11.87	311
125.824	0.064	R	875718	875780	1709.3	587.2	1075.9	598.4	11.50	268
126.002	0.02	L	875896	875914	1048.9	587.5	994.8	580.1	1.03	71
126.004	0.018	R	875898	875914	1053.4	599.3	1007.1	595.6	0.88	64
126.156	0.222	L	876050	876270	980.0	593.0	967.3	779.0	3.49	1147
126.146	0.252	R	876040	876290	996.4	607.3	974.4	811.1	3.87	989
126.496	0.02	L	876390	876408	935.1	643.5	969.5	596.1	1.11	70
132.238	0.094	L	882132	882224	998.3	612.9	304.2	639.6	12.90	183
132.24	0.094	R	882134	882226	984.7	632.4	320.6	716.3	12.43	178
133.664	0.058	R	883558	883614	312.4	716.5	946.1	604.7	11.94	323
133.664	0.06	L	883558	883616	312.3	663.9	939.5	586.1	11.73	294
133.886	0.018	L	883780	883796	949.7	598.6	990.7	597.9	0.77	52
133.884	0.02	R	883778	883796	949.4	613.0	998.1	605.6	0.93	59
134.25	0.342	R	884144	884484	965.9	648.6	619.5	1016.9	9.39	945
134.624	0.078	R	884518	884594	758.6	997.2	1003.1	589.4	8.83	146
134.252	0.456	L	884146	884600	958.4	635.3	974.2	542.7	1.78	1421
135.126	0.016	L	885020	885034	990.6	553.2	959.5	540.3	0.64	51
135.352	0.018	L	885246	885262	953.4	538.7	995.4	539.2	0.79	58
139.804	0.018	R	889698	889714	1020.4	606.4	1073.6	606.9	1.00	71
139.806	0.018	L	889700	889716	1025.9	577.1	1079.5	578.2	1.01	71
139.96	0.05	R	889854	889902	1068.7	602.9	1601.6	639.6	9.78	284
139.96	0.054	L	889854	889906	1079.0	580.1	1622.7	595.8	9.94	277
141.308	0.064	L	891202	891264	1633.8	597.8	1008.4	561.3	11.47	270
141.308	0.066	R	891202	891266	1614.3	659.4	996.5	609.4	11.35	253
141.598	0.022	L	891492	891512	1007.9	585.8	944.6	585.5	1.19	72
141.6	0.02	R	891494	891512	992.9	621.7	942.1	612.4	0.97	62
141.876	0.152	L	891770	891920	986.7	588.9	217.2	1005.4	15.86	862
141.842	0.24	R	891736	891974	926.7	616.0	1027.1	723.3	2.75	744
142.05	0.056	L	891944	891998	274.9	1021.2	1064.2	761.9	15.11	1706
142.24	0.136	R	892134	892268	1003.2	712.4	1531.6	1125.3	12.04	821
142.426	0.028	R	892320	892346	1579.3	1023.9	1014.8	768.2	11.14	806
142.184	0.726	L	892078	892802	1039.4	657.2	970.7	550.0	2.41	816
143.458	0.058	R	893352	893408	970.5	578.7	1523.5	608.0	10.23	265
143.46	0.056	L	893354	893408	965.3	565.8	1517.8	581.6	10.21	245
144.252	0.086	L	894146	894230	1534.2	628.8	400.2	337.4	21.46	377
144.252	0.09	R	894146	894234	1526.3	656.5	440.9	447.2	20.24	357
144.898	0.042	L	894792	894832	448.6	447.4	858.8	531.1	7.85	284
144.896	0.044	R	894790	894832	454.5	509.2	881.7	555.7	8.06	296
145.306	0.024	R	895200	895222	875.2	565.7	950.5	572.2	1.43	80
145.308	0.024	L	895202	895224	884.6	550.3	960.0	556.6	1.43	78
147.336	0.086	L	897230	897314	997.7	586.0	195.8	574.7	14.78	236
147.336	0.088	R	897230	897316	983.3	602.2	240.7	638.6	13.71	220
148.334	0.044	L	898228	898270	286.0	563.8	507.6	506.7	4.22	116
148.334	0.044	R	898228	898270	276.8	638.0	508.2	582.9	4.39	126
148.716	0.054	R	898610	898662	529.2	606.2	1064.5	592.2	10.03	275
148.716	0.056	L	898610	898664	555.1	543.4	1082.0	565.7	9.88	272
148.976	0.258	R	898870	899126	1034.6	612.4	997.0	745.9	2.59	813
148.984	0.284	L	898878	899160	1025.1	579.3	1014.1	774.5	3.68	932
154.838	0.038	L	904732	904768	991.1	564.8	724.7	520.6	5.06	184
154.838	0.04	R	904732	904770	983.6	622.5	730.2	607.2	4.75	161
154.998	0.024	L	904892	904914	722.2	523.1	641.3	514.1	1.52	90
155.0	0.024	R	904894	904916	717.3	603.1	637.3	593.8	1.51	83
156.4	0.026	L	906294	906318	651.6	544.3	733.1	541.6	1.53	72
156.4	0.026	R	906294	906318	664.2	585.2	749.4	586.1	1.60	73
156.578	0.022	R	906472	906492	859.7	582.9	925.4	589.3	1.24	74
156.58	0.022	L	906474	906494	861.8	547.8	925.6	554.1	1.20	78
162.632	0.062	L	912526	912586	981.7	593.7	307.0	479.1	12.70	296
162.634	0.062	R	912528	912588	988.6	615.1	333.6	560.7	12.20	282
162.824	0.118	R	912718	912834	347.8	556.8	1729.7	523.5	24.73	315
162.824	0.12	L	912718	912836	337.0	506.9	1735.0	552.1	25.00	310
164.116	0.066	L	914010	914074	1642.9	582.6	1081.1	557.3	10.23	231
164.116	0.068	R	914010	914076	1651.2	610.7	1083.1	592.6	10.33	220
164.3	0.02	R	914194	914212	1065.0	600.8	1011.9	610.2	1.01	69
164.3	0.022	L	914194	914214	1073.6	579.4	1004.9	583.4	1.29	80
164.772	0.044	R	914666	914708	949.5	588.7	1514.5	1125.8	14.24	751
164.772	0.082	L	914666	914746	948.0	577.2	199.5	1004.4	15.64	579
164.89	0.03	R	914784	914812	1526.3	1087.5	975.0	797.4	11.28	803
164.878	0.064	L	914772	914834	249.4	1025.0	989.2	751.6	14.30	911
166.208	0.058	L	916102	916158	988.7	583.3	526.4	497.0	8.81	239
166.21	0.058	R	916104	916160	988.6	602.0	554.2	524.1	8.27	188
166.582	0.04	L	916476	916514	539.5	513.7	290.8	532.6	4.61	153
166.584	0.038	R	916478	916514	544.7	543.7	329.4	572.4	4.01	136
166.828	0.122	L	916722	916842	301.2	529.8	1857.0	611.6	27.48	345
166.828	0.124	R	916722	916844	310.9	572.0	1882.5	532.2	27.70	342
167.132	0.02	R	917026	917044	1835.0	594.2	1789.0	571.7	0.89	54
167.816	0.056	L	917710	917764	1699.4	642.5	1046.7	550.5	11.95	322
167.816	0.058	R	917710	917766	1691.4	622.5	1064.9	578.3	11.38	279
167.996	0.018	L	917890	917906	1027.2	590.9	983.2	584.6	0.83	59
167.996	0.018	R	917890	917906	1028.8	589.2	985.8	589.2	0.81	58
173.86	0.042	R	923754	923794	1001.8	611.0	1267.9	658.3	5.05	192
173.862	0.042	L	923756	923796	1001.1	553.7	1252.9	579.9	4.73	172
174.128	0.08	L	924022	924100	1256.5	579.8	558.1	487.5	13.13	228
174.13	0.08	R	924024	924102	1255.3	647.7	592.4	566.8	12.45	221
174.53	0.086	R	924424	924508	587.4	616.7	561.1	667.9	1.08	242
174.53	0.088	L	924424	924510	567.9	560.6	570.0	668.4	2.03	581
175.482	0.052	R	925376	925426	386.9	591.1	866.6	569.2	8.96	267
175.482	0.054	L	925376	925428	392.5	555.6	870.5	527.9	8.93	244
175.664	0.018	L	925558	925574	874.1	529.1	914.6	525.0	0.77	58
175.662	0.02	R	925556	925574	871.1	586.2	920.6	583.5	0.94	63
176.464	0.048	R	926358	926404	959.5	569.2	1601.0	1068.4	14.90	843
176.534	0.16	R	926428	926586	1652.6	1072.2	1650.6	1068.9	0.07	26
176.788	0.028	R	926682	926708	1566.3	905.5	970.9	722.4	11.26	827
177.608	0.058	R	927502	927558	974.0	588.1	440.3	595.5	9.93	234
176.464	1.208	L	926358	927564	968.4	558.1	441.9	686.3	10.13	1783
177.794	0.026	R	927688	927712	448.5	602.5	343.7	591.7	1.94	99
177.794	0.054	L	927688	927740	436.3	620.5	318.5	595.4	2.22	137
179.174	0.062	R	929068	929128	362.1	586.7	946.2	609.3	10.90	284
179.174	0.064	L	929068	929130	352.8	547.2	930.9	582.2	10.80	270
179.388	0.02	L	929282	929300	924.9	590.2	978.0	578.1	1.03	66
179.39	0.02	R	929284	929302	950.4	615.1	996.8	594.3	0.96	65
185.28	0.054	L	935174	935226	957.5	581.7	418.0	549.7	10.11	300
185.282	0.054	R	935176	935228	977.7	623.5	453.6	609.9	9.81	258
185.44	0.026	L	935334	935358	413.2	538.5	314.0	543.8	1.83	107
185.442	0.024	R	935336	935358	436.9	602.1	342.0	609.7	1.76	100
186.83	0.054	R	936724	936776	342.4	595.1	820.5	573.8	8.93	254
186.832	0.054	L	936726	936778	358.6	535.1	820.9	513.8	8.63	212
187.012	0.026	R	936906	936930	816.8	583.5	912.9	578.7	1.82	95
187.016	0.024	L	936910	936932	836.7	517.8	915.9	515.8	1.50	78
187.222	0.016	L	937116	937130	956.7	535.3	989.4	546.7	0.65	54
187.488	0.052	R	937382	937432	1019.4	625.9	1478.9	1126.6	12.42	665
187.582	0.054	R	937476	937528	1478.8	1130.6	1031.6	749.7	10.60	765
187.492	0.146	L	937386	937530	1005.7	572.8	1016.2	710.8	2.62	1581
187.916	0.346	R	937810	938154	1002.3	645.8	1621.5	1114.5	14.01	761
188.308	0.03	R	938202	938230	1532.9	1072.4	1092.7	873.7	8.67	574
188.364	0.024	R	938258	938280	1083.4	889.0	1011.9	686.0	4.01	267
192.972	0.04	R	942866	942904	987.0	607.8	1247.6	638.0	4.88	172
193.164	0.022	R	943058	943078	1263.1	637.9	1331.6	633.8	1.26	80
187.92	5.994	L	937814	943806	982.3	589.1	255.9	910.3	14.63	793
