participant_id	trial_type	accuracy
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AY	1
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	1
sub-21163	BY	1
sub-21163	AX	1
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	n/a	n/a
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AY	1
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	1
sub-21163	BY	1
sub-21163	AX	1
sub-21163	n/a	n/a
sub-21163	BY	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BY	0
sub-21163	BY	0
sub-21163	AY	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AY	1
sub-21163	BY	1
sub-21163	AX	1
sub-21163	AY	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BY	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	1
sub-21163	BY	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AY	1
sub-21163	AX	0
sub-21163	AX	0
sub-21163	BY	1
sub-21163	AX	0
sub-21163	AX	0
sub-21163	BY	1
sub-21163	AX	1
sub-21163	BX	0
sub-21163	AX	0
sub-21163	AY	1
sub-21163	AX	0
sub-21163	AY	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AY	1
sub-21163	n/a	n/a
sub-21163	AY	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BX	1
sub-21163	BY	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AY	1
sub-21163	AX	0
sub-21163	AY	0
sub-21163	AY	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BY	0
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	1
sub-21163	BX	0
sub-21163	BX	1
sub-21163	AX	0
sub-21163	AX	0
sub-21163	BY	1
sub-21163	AX	1
sub-21163	BY	1
sub-21163	AY	0
sub-21163	AX	0
sub-21163	AX	0
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	0
sub-21163	BX	1
sub-21163	n/a	n/a
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AY	0
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	BY	1
sub-21163	AX	0
sub-21163	AX	0
sub-21163	BY	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	0
sub-21163	AX	0
sub-21163	AX	0
sub-21163	AY	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BY	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BX	0
sub-21163	AX	0
sub-21163	BX	1
sub-21163	AY	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	BX	1
sub-21163	AX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	BX	0
sub-21163	AX	1
sub-21163	AX	1
sub-21163	AX	1
sub-21163	n/a	n/a
