onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.012	0.04	R	502443	502482	463.6	457.0	847
0.014	0.039	L	502445	502483	431.0	432.2	776
0.113	0.272	L	502544	502815	1185.8	510.0	762
0.111	0.275	R	502542	502816	1187.4	516.6	779
0.418	0.156	L	502849	503004	930.1	550.9	787
0.596	0.967	L	503027	503993	941.6	568.1	788
0.413	1.151	R	502844	503994	962.9	582.0	851
1.636	0.224	L	504067	504290	311.3	594.4	823
1.628	0.232	R	504059	504290	373.9	614.1	921
1.907	0.185	L	504338	504522	892.5	577.4	815
1.907	0.186	R	504338	504523	918.5	603.1	882
2.111	0.14	R	504542	504681	973.5	601.3	857
2.111	0.146	L	504542	504687	954.8	574.7	797
2.379	0.462	L	504810	505271	936.9	578.1	766
2.374	0.468	R	504805	505272	950.4	587.7	813
2.867	0.281	L	505298	505578	953.3	607.8	822
2.867	0.281	R	505298	505578	968.9	617.4	870
3.182	0.399	L	505613	506011	1274.6	606.8	789
3.181	0.4	R	505612	506011	1275.7	622.4	814
3.742	0.65	R	506173	506822	999.0	581.9	862
3.738	0.656	L	506169	506824	976.1	571.0	826
4.568	0.405	L	506999	507403	917.1	578.5	856
4.574	0.4	R	507005	507404	949.7	583.7	879
4.999	1.717	L	507430	509146	944.5	562.5	787
4.998	1.718	R	507429	509146	969.2	582.9	823
6.739	0.412	R	509170	509581	876.0	551.8	821
6.738	0.414	L	509169	509582	850.8	533.0	786
7.182	0.477	L	509613	510089	943.6	553.9	795
7.173	0.487	R	509604	510090	965.1	579.7	823
7.681	0.347	L	510112	510458	851.2	555.8	816
7.682	0.346	R	510113	510458	881.6	581.9	846
8.05	0.21	R	510481	510690	972.4	582.0	830
8.056	0.208	L	510487	510694	951.3	563.6	797
8.388	1.496	R	510819	512314	968.8	569.1	754
8.402	1.486	L	510833	512318	942.1	566.9	716
9.907	0.358	L	512338	512695	961.0	558.8	731
9.907	0.36	R	512338	512697	988.0	578.4	783
10.287	0.776	L	512718	513493	870.3	532.0	760
10.288	0.775	R	512719	513493	890.5	559.0	821
11.134	0.376	L	513565	513940	1517.4	563.8	746
11.114	0.396	R	513545	513940	1518.0	597.0	740
11.541	0.347	L	513972	514318	1619.9	542.1	755
11.54	0.348	R	513971	514318	1605.6	591.9	723
12.032	0.357	L	514463	514819	1009.5	518.7	775
12.033	0.36	R	514464	514823	1024.1	572.4	779
12.57	0.859	L	515001	515859	972.2	555.3	767
12.573	0.857	R	515004	515860	983.8	567.2	778
13.49	0.304	R	515921	516224	245.7	540.1	824
13.484	0.312	L	515915	516226	232.3	568.9	732
13.966	0.221	L	516397	516617	976.7	575.4	727
13.992	0.196	R	516423	516618	983.2	556.1	786
14.214	0.697	R	516645	517341	930.3	579.3	856
14.218	0.694	L	516649	517342	922.4	614.0	784
14.941	0.464	L	517372	517835	968.1	618.2	754
14.94	0.528	R	517371	517898	966.2	587.5	830
15.501	0.143	R	517932	518074	834.1	616.8	953
15.659	0.103	R	518090	518192	809.0	611.5	939
15.825	0.368	R	518256	518623	296.4	666.3	967
17.327	0.103	L	519758	519860	925.6	620.1	717
16.35	2.129	R	518781	520909	932.4	575.9	888
17.456	1.027	L	519887	520913	950.1	601.0	765
18.637	0.267	L	521068	521334	958.5	631.1	733
18.928	0.518	L	521359	521876	948.5	615.2	796
18.658	0.789	R	521089	521877	977.0	603.7	819
19.465	0.418	R	521896	522313	924.2	595.3	852
19.474	0.41	L	521905	522314	897.5	616.1	808
19.901	0.132	R	522332	522463	964.9	597.8	828
19.902	0.135	L	522333	522467	945.5	611.7	787
20.238	1.119	R	522669	523787	955.2	600.1	783
20.22	1.138	L	522651	523788	934.8	623.1	741
21.381	0.163	L	523812	523974	1039.1	603.4	730
21.381	0.163	R	523812	523974	1052.8	586.6	767
21.573	0.467	L	524004	524470	957.2	597.2	746
21.565	0.478	R	523996	524473	975.1	589.4	795
22.211	0.243	L	524642	524884	1058.3	564.1	749
22.21	0.244	R	524641	524884	1087.2	587.8	772
22.485	0.577	R	524916	525492	974.2	590.0	823
22.488	0.576	L	524919	525494	959.3	583.7	793
23.082	0.554	R	525513	526066	1020.0	621.8	796
23.084	0.553	L	525515	526067	1014.3	612.8	756
23.665	0.837	L	526096	526932	1282.1	583.8	759
23.664	0.838	R	526095	526932	1280.2	601.3	817
24.632	0.579	L	527063	527641	1029.0	578.2	753
24.632	0.581	R	527063	527643	1029.9	591.8	817
25.413	0.208	L	527844	528051	999.1	623.4	687
25.413	0.209	R	527844	528052	1005.1	616.7	727
25.637	1.499	R	528068	529566	973.4	592.8	723
25.647	1.491	L	528078	529568	964.2	581.6	690
27.154	0.857	L	529585	530441	974.4	612.9	724
27.152	0.86	R	529583	530442	983.8	621.1	756
28.039	0.324	L	530470	530793	699.2	581.2	777
28.041	0.322	R	530472	530793	724.8	595.8	854
28.392	0.431	L	530823	531253	648.3	582.8	772
28.39	0.433	R	530821	531253	669.2	602.0	870
28.966	0.543	R	531397	531939	889.4	589.1	816
28.966	0.545	L	531397	531941	886.9	571.2	731
29.53	0.418	R	531961	532378	864.5	605.2	808
29.53	0.419	L	531961	532379	854.5	593.8	730
29.974	0.271	L	532405	532675	975.0	593.1	704
29.973	2.704	R	532404	535107	971.3	599.5	817
30.267	2.411	L	532698	535108	957.3	590.0	758
