onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.624	0.058	L	539482	539539	732.0	501.5	672
0.604	0.089	R	539462	539550	794.6	538.5	608
0.93	0.243	L	539788	540030	920.3	587.8	757
0.92	0.255	R	539778	540032	960.6	599.5	693
1.191	0.657	L	540049	540705	913.7	573.3	678
1.189	0.659	R	540047	540705	937.7	585.4	603
2.374	0.148	L	541232	541379	588.8	483.9	830
2.372	0.152	R	541230	541381	680.9	549.5	700
2.548	0.158	L	541406	541563	871.5	560.7	764
2.548	0.159	R	541406	541564	912.3	553.7	647
2.759	0.273	R	541617	541889	-71.7	342.5	616
3.054	3.469	R	541912	545380	38.3	413.5	577
2.755	3.771	L	541613	545383	28.6	390.6	623
6.562	0.152	R	545420	545571	567.5	548.1	550
6.563	0.152	L	545421	545572	529.4	472.9	604
6.74	0.092	L	545598	545689	295.9	446.5	618
6.74	0.094	R	545598	545691	356.1	535.4	578
6.862	0.219	L	545720	545938	567.5	534.1	641
6.859	0.236	R	545717	545952	570.1	577.6	588
7.281	0.295	L	546139	546433	557.8	577.4	661
7.259	0.317	R	546117	546433	575.1	616.6	603
7.941	0.013	L	546799	546811	851.7	572.9	595
7.934	0.02	R	546792	546811	859.7	546.4	522
8.157	0.25	R	547015	547264	959.8	582.8	628
8.154	0.254	L	547012	547265	939.8	589.2	701
9.18	0.154	L	548038	548191	815.9	701.7	833
9.18	0.155	R	548038	548192	831.0	710.8	748
9.362	0.178	L	548220	548397	940.3	617.8	822
9.362	0.178	R	548220	548397	972.2	625.1	723
9.566	0.377	R	548424	548800	951.3	587.1	673
9.556	0.389	L	548414	548802	900.0	570.5	787
10.683	0.245	R	549541	549785	916.8	564.3	837
10.697	0.233	L	549555	549787	898.6	566.0	823
10.944	0.953	L	549802	550754	846.8	592.4	631
10.945	0.952	R	549803	550754	839.5	590.8	549
12.04	0.447	L	550898	551344	861.0	564.3	548
12.04	0.448	R	550898	551345	837.1	554.9	471
12.624	0.021	L	551482	551502	255.5	922.5	639
12.554	0.146	R	551412	551557	189.5	1122.9	554
12.753	0.118	L	551611	551728	787.0	441.6	634
12.753	0.121	R	551611	551731	789.8	457.2	544
12.893	1.543	R	551751	553293	900.7	540.7	509
12.892	1.545	L	551750	553294	906.0	556.2	614
14.66	0.293	R	553518	553810	923.8	541.6	397
14.658	0.297	L	553516	553812	916.6	561.5	491
14.969	0.276	R	553827	554102	899.8	544.6	449
14.97	0.277	L	553828	554104	870.0	531.2	542
15.271	0.123	L	554129	554251	776.8	452.4	490
15.267	0.127	R	554125	554251	818.0	481.7	407
15.417	1.88	L	554275	556154	911.0	554.4	481
15.416	1.884	R	554274	556157	921.0	552.3	397
17.317	1.457	L	556175	557631	917.5	558.6	530
18.789	0.908	L	557647	558554	868.9	559.0	525
17.315	2.382	R	556173	558554	901.9	555.5	440
