participant_id	condition	accuracy	reaction_time
sub-23787	incongruent	0	0.517
sub-23787	congruent	1	0.410
sub-23787	incongruent	1	0.476
sub-23787	congruent	1	0.362
sub-23787	congruent	1	0.452
sub-23787	incongruent	0	0.407
sub-23787	incongruent	0	0.476
sub-23787	congruent	1	0.451
sub-23787	incongruent	0	0.519
sub-23787	incongruent	0	0.559
sub-23787	congruent	1	0.440
sub-23787	incongruent	1	0.488
sub-23787	incongruent	0	0.503
sub-23787	congruent	0	0.836
sub-23787	congruent	1	0.603
sub-23787	congruent	1	0.438
sub-23787	incongruent	1	0.534
sub-23787	congruent	1	0.461
sub-23787	incongruent	1	0.501
sub-23787	incongruent	1	0.608
sub-23787	congruent	1	0.455
sub-23787	incongruent	1	0.487
sub-23787	incongruent	0	0.330
sub-23787	congruent	1	0.369
sub-23787	congruent	1	0.279
sub-23787	congruent	1	0.363
sub-23787	congruent	1	0.387
sub-23787	incongruent	1	0.220
sub-23787	congruent	1	0.326
sub-23787	congruent	1	0.398
sub-23787	congruent	1	0.305
sub-23787	congruent	1	0.384
sub-23787	congruent	1	0.430
sub-23787	congruent	1	0.463
sub-23787	incongruent	1	0.286
sub-23787	incongruent	1	0.509
sub-23787	incongruent	1	0.565
sub-23787	congruent	1	0.397
sub-23787	incongruent	0	0.413
sub-23787	incongruent	1	0.515
sub-23787	congruent	1	0.414
sub-23787	congruent	1	0.352
sub-23787	congruent	1	0.354
sub-23787	incongruent	1	0.696
sub-23787	congruent	1	0.454
sub-23787	incongruent	1	0.648
sub-23787	incongruent	1	0.639
sub-23787	incongruent	1	0.487
sub-23787	congruent	1	0.321
sub-23787	incongruent	0	0.298
sub-23787	incongruent	1	0.324
sub-23787	congruent	1	0.328
sub-23787	congruent	1	0.453
sub-23787	congruent	1	0.459
sub-23787	incongruent	1	0.559
sub-23787	incongruent	1	0.599
sub-23787	incongruent	0	0.336
sub-23787	incongruent	0	0.371
sub-23787	congruent	1	0.371
sub-23787	incongruent	1	0.528
sub-23787	incongruent	0	0.711
sub-23787	incongruent	0	0.368
sub-23787	incongruent	1	0.459
sub-23787	congruent	1	0.384
sub-23787	incongruent	1	0.427
sub-23787	congruent	0	0.254
sub-23787	congruent	1	0.366
sub-23787	congruent	1	0.284
sub-23787	incongruent	0	0.259
sub-23787	congruent	1	0.379
sub-23787	congruent	1	0.269
sub-23787	congruent	1	0.270
sub-23787	incongruent	1	0.240
sub-23787	congruent	1	0.216
sub-23787	incongruent	1	0.207
sub-23787	incongruent	0	0.291
sub-23787	congruent	1	0.357
sub-23787	incongruent	1	0.505
sub-23787	congruent	1	0.317
sub-23787	incongruent	0	0.323
sub-23787	congruent	1	0.357
sub-23787	congruent	1	0.328
sub-23787	congruent	1	0.458
sub-23787	congruent	1	0.309
sub-23787	incongruent	0	0.274
sub-23787	incongruent	0	0.375
