onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.416	0.018	R	3918832	3918848	999.0	440.8	999.4	479.9	0.78	52
4.544	0.018	L	3922960	3922976	924.8	495.3	886.3	503.0	0.77	65
7.05	0.02	L	3925466	3925484	927.9	508.0	882.3	496.6	0.92	68
7.052	0.018	R	3925468	3925484	981.8	508.9	939.6	490.9	0.90	75
7.822	0.018	R	3926238	3926254	918.4	484.7	903.1	518.7	0.74	56
8.578	0.022	L	3926994	3927014	856.2	507.0	935.3	502.2	1.56	103
8.576	0.024	R	3926992	3927014	914.6	509.8	1018.6	512.4	2.04	132
9.81	0.054	R	3928226	3928278	993.8	527.2	1270.4	1240.1	14.47	662
9.896	0.068	R	3928312	3928378	1350.8	1252.3	1031.8	535.2	14.83	423
9.794	0.21	L	3928210	3928418	928.8	499.9	973.8	569.0	1.63	639
10.528	0.236	R	3928944	3929178	994.1	503.6	1318.6	437.8	6.45	845
10.518	0.272	L	3928934	3929204	952.7	508.9	1286.6	505.8	6.53	1201
11.06	0.022	L	3929476	3929496	1266.6	451.8	1227.9	495.5	1.15	75
11.06	0.022	R	3929476	3929496	1307.6	444.2	1274.2	498.3	1.25	82
12.09	0.036	L	3930506	3930540	1244.9	508.7	983.5	533.3	5.12	234
12.092	0.036	R	3930508	3930542	1302.3	504.9	1042.0	520.9	5.09	217
12.354	0.026	L	3930770	3930794	976.1	518.6	870.6	523.8	2.07	127
12.356	0.024	R	3930772	3930794	1019.3	524.4	915.3	525.6	2.04	128
13.028	0.022	R	3931444	3931464	924.5	517.4	991.1	507.6	1.32	86
13.028	0.024	L	3931444	3931466	860.5	502.4	927.6	491.4	1.33	85
15.516	0.016	R	3933932	3933946	994.6	508.0	958.5	502.9	0.71	64
15.514	0.02	L	3933930	3933948	942.0	494.4	891.5	488.9	1.00	81
17.434	0.068	R	3935850	3935916	1013.3	511.7	1011.7	570.5	1.15	405
17.422	0.142	L	3935838	3935978	951.6	497.0	1029.5	730.9	4.86	873
19.474	0.038	L	3937890	3937926	947.7	498.2	605.5	542.2	6.69	280
19.474	0.038	R	3937890	3937926	1015.9	495.0	693.1	535.7	6.31	268
20.43	0.032	L	3938846	3938876	639.9	541.2	857.1	517.2	4.24	202
20.43	0.032	R	3938846	3938876	682.3	548.9	931.0	524.6	4.85	232
21.084	0.024	L	3939500	3939522	880.0	507.4	978.8	502.8	1.93	118
21.084	0.024	R	3939500	3939522	937.1	521.6	1052.9	505.8	2.29	146
24.068	0.032	L	3942484	3942514	951.6	535.2	746.2	570.6	4.06	213
24.07	0.03	R	3942486	3942514	995.2	505.8	790.7	517.9	3.99	219
24.298	0.044	R	3942714	3942756	761.6	530.1	226.3	584.4	10.10	349
24.296	0.058	L	3942712	3942768	729.8	561.1	193.1	648.5	10.19	339
24.866	0.052	R	3943282	3943332	208.6	578.5	956.5	497.5	14.13	441
24.866	0.054	L	3943282	3943334	179.7	602.0	850.1	495.5	12.76	385
25.278	0.026	R	3943694	3943718	929.6	502.6	1028.0	513.0	1.93	120
25.28	0.024	L	3943696	3943718	874.9	475.0	965.7	490.5	1.80	112
26.122	0.016	L	3944538	3944552	951.6	507.4	913.2	508.6	0.75	62
28.236	0.04	R	3946652	3946690	1019.9	472.1	1409.5	508.9	7.63	312
28.238	0.04	L	3946654	3946692	973.9	457.9	1335.2	504.2	7.10	282
28.402	0.018	L	3946818	3946834	1312.8	502.9	1272.0	488.1	0.85	65
28.402	0.018	R	3946818	3946834	1366.6	502.1	1331.2	488.8	0.74	58
29.248	0.04	L	3947664	3947702	1280.1	485.4	950.8	489.2	6.42	247
29.25	0.04	R	3947666	3947704	1300.7	495.4	994.5	508.2	5.97	234
29.46	0.018	L	3947876	3947892	940.0	487.5	893.9	485.2	0.90	69
29.462	0.016	R	3947878	3947892	974.6	510.9	937.5	512.3	0.73	62
32.448	0.056	L	3950864	3950918	938.3	499.6	241.5	638.1	13.44	350
32.45	0.056	R	3950866	3950920	999.6	509.3	265.9	555.0	13.90	348
