onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
0.14	6.0	538998	545025	ShowFixation	ANTI	1	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
6.167	0.2	545025	545264	BlankScreen	ANTI	1	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
6.406	1.0	545264	546305	ELCue	ANTI	1	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
7.849	2.0	546707	549350	ShowFixation	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
10.492	0.2	549350	549585	BlankScreen	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
10.727	1.0	549585	550626	ELCue	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
12.173	6.0	551031	557671	ShowFixation	VGS	3	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
18.813	0.2	557671	557910	BlankScreen	VGS	3	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
19.052	1.0	557910	558947	ELCue	VGS	3	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
20.482	2.0	559340	561962	ShowFixation	VGS	4	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
23.104	0.2	561962	562181	BlankScreen	VGS	4	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
23.323	1.0	562181	563205	ELCue	VGS	4	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
24.749	6.0	563607	570250	ShowFixation	ANTI	5	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
31.392	0.2	570250	570489	BlankScreen	ANTI	5	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
31.631	1.0	570489	571530	ELCue	ANTI	5	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
33.078	2.0	571936	574575	ShowFixation	VGS	6	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
35.717	0.2	574575	574810	BlankScreen	VGS	6	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
35.952	1.0	574810	575851	ELCue	VGS	6	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
37.39	6.0	576248	582896	ShowFixation	ANTI	7	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
44.038	0.2	582896	583135	BlankScreen	ANTI	7	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
44.277	1.0	583135	584173	ELCue	ANTI	7	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
45.724	2.0	584582	587221	ShowFixation	VGS	8	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
48.363	0.2	587221	587456	BlankScreen	VGS	8	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
48.598	1.0	587456	588497	ELCue	VGS	8	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
50.043	2.0	588901	591542	ShowFixation	ANTI	9	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
52.684	0.2	591542	591777	BlankScreen	ANTI	9	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
52.919	1.0	591777	592815	ELCue	ANTI	9	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
54.36	2.0	593218	595863	ShowFixation	ANTI	10	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
57.005	0.2	595863	596098	BlankScreen	ANTI	10	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
57.24	1.0	596098	597139	ELCue	ANTI	10	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
58.685	6.0	597543	604183	ShowFixation	VGS	11	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
65.325	0.2	604183	604423	BlankScreen	VGS	11	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
65.565	1.0	604423	605464	ELCue	VGS	11	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
67.009	6.0	605867	612508	ShowFixation	VGS	12	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
73.65	0.2	612508	612748	BlankScreen	VGS	12	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
73.891	1.0	612749	613789	ELCue	VGS	12	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
75.334	6.0	614192	620834	ShowFixation	ANTI	13	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
81.976	0.2	620834	621074	BlankScreen	ANTI	13	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
82.216	1.0	621074	622114	ELCue	ANTI	13	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
83.662	6.0	622520	629159	ShowFixation	VGS	14	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
90.301	0.2	629159	629398	BlankScreen	VGS	14	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
90.54	1.0	629398	630439	ELCue	VGS	14	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
91.988	2.0	630846	633484	ShowFixation	ANTI	15	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
94.626	0.2	633484	633719	BlankScreen	ANTI	15	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
94.861	1.0	633719	634759	ELCue	ANTI	15	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
96.271	2.0	635129	637788	ShowFixation	VGS	16	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
