participant_id	trial_type	accuracy
sub-23710	BY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	0
sub-23710	BY	0
sub-23710	BY	1
sub-23710	AY	1
sub-23710	AX	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	0
sub-23710	AY	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	AY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	BX	0
sub-23710	AX	1
sub-23710	AY	0
sub-23710	AX	0
sub-23710	AY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	0
sub-23710	AY	1
sub-23710	n/a	n/a
sub-23710	AY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AY	0
sub-23710	AX	0
sub-23710	AY	1
sub-23710	AY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	BX	0
sub-23710	BX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BY	0
sub-23710	AX	1
sub-23710	BY	1
sub-23710	AY	1
sub-23710	AX	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	n/a	n/a
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	0
sub-23710	AX	1
sub-23710	AY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	0
sub-23710	BY	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AY	0
sub-23710	AX	1
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	0
sub-23710	AX	1
sub-23710	AX	0
sub-23710	AX	1
sub-23710	BX	1
sub-23710	AX	1
sub-23710	AX	1
sub-23710	AX	0
sub-23710	n/a	n/a
