onset	duration	eye	startTime	stopTime
0.001	0.081	L	983519	983599
0.001	0.081	R	983519	983599
1.862	0.175	L	985380	985554
1.86	0.177	R	985378	985554
4.945	0.1	L	988463	988562
4.941	0.118	R	988459	988576
5.636	0.187	L	989154	989340
5.631	0.192	R	989149	989340
6.628	0.084	L	990146	990229
6.615	0.097	R	990133	990229
8.238	0.145	L	991756	991900
8.235	0.154	R	991753	991906
8.882	0.114	L	992400	992513
8.882	0.117	R	992400	992516
10.919	0.111	L	994437	994547
10.918	0.119	R	994436	994554
13.458	0.183	L	996976	997158
13.456	0.195	R	996974	997168
14.211	0.141	L	997729	997869
14.211	0.142	R	997729	997870
14.845	0.112	R	998363	998474
14.847	0.111	L	998365	998475
15.449	0.145	L	998967	999111
15.45	0.146	R	998968	999113
17.028	0.144	L	1000546	1000689
17.028	0.147	R	1000546	1000692
17.931	0.185	R	1001449	1001633
17.929	0.189	L	1001447	1001635
18.844	0.154	L	1002362	1002515
18.846	0.154	R	1002364	1002517
22.286	0.155	L	1005804	1005958
22.282	0.166	R	1005800	1005965
26.038	0.234	L	1009556	1009789
26.037	0.238	R	1009555	1009792
28.881	0.125	L	1012399	1012523
28.875	0.142	R	1012393	1012534
29.786	0.16	L	1013304	1013463
29.784	0.165	R	1013302	1013466
32.384	0.023	L	1015902	1015924
34.395	0.176	L	1017913	1018088
34.392	0.188	R	1017910	1018097
35.265	0.12	L	1018783	1018902
35.261	0.132	R	1018779	1018910
36.44	0.137	L	1019958	1020094
36.438	0.145	R	1019956	1020100
36.952	0.131	L	1020470	1020600
36.95	0.135	R	1020468	1020602
37.534	0.171	L	1021052	1021222
37.532	0.173	R	1021050	1021222
38.137	0.129	L	1021655	1021783
38.137	0.129	R	1021655	1021783
38.935	0.158	L	1022453	1022610
38.936	0.161	R	1022454	1022614
39.407	0.162	L	1022925	1023086
39.405	0.166	R	1022923	1023088
40.763	0.061	R	1024281	1024341
43.382	0.166	L	1026900	1027065
43.378	0.175	R	1026896	1027070
44.07	0.198	R	1027588	1027785
44.072	0.198	L	1027590	1027787
47.209	0.131	L	1030727	1030857
47.204	0.138	R	1030722	1030859
48.424	0.136	L	1031942	1032077
48.42	0.145	R	1031938	1032082
49.537	0.133	R	1033055	1033187
49.536	0.137	L	1033054	1033190
50.705	0.135	L	1034223	1034357
50.705	0.136	R	1034223	1034358
51.485	0.157	R	1035003	1035159
51.485	0.159	L	1035003	1035161
52.199	0.155	L	1035717	1035871
52.199	0.155	R	1035717	1035871
52.705	0.129	R	1036223	1036351
52.706	0.13	L	1036224	1036353
53.588	0.442	L	1037106	1037547
53.526	0.504	R	1037044	1037547
54.16	0.386	L	1037678	1038063
54.16	0.403	R	1037678	1038080
55.773	0.179	L	1039291	1039469
55.767	0.19	R	1039285	1039474
57.371	0.144	L	1040889	1041032
57.367	0.152	R	1040885	1041036
57.999	0.163	R	1041517	1041679
57.999	0.164	L	1041517	1041680
59.392	0.114	L	1042910	1043023
59.389	0.121	R	1042907	1043027
60.524	0.163	L	1044042	1044204
60.522	0.165	R	1044040	1044204
63.15	0.15	L	1046668	1046817
63.143	0.165	R	1046661	1046825
64.199	0.136	L	1047717	1047852
64.199	0.138	R	1047717	1047854
64.939	0.116	R	1048457	1048572
64.939	0.12	L	1048457	1048576
65.417	0.103	L	1048935	1049037
65.414	0.108	R	1048932	1049039
67.839	0.164	R	1051357	1051520
67.836	0.168	L	1051354	1051521
70.136	0.138	L	1053654	1053791
70.133	0.146	R	1053651	1053796
70.915	0.155	R	1054433	1054587
70.913	0.161	L	1054431	1054591
76.317	0.23	L	1059835	1060064
76.314	0.241	R	1059832	1060072
79.835	0.086	L	1063353	1063438
