onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
0.146	2.0	522138	524178	ShowFixation	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
2.186	0.2	524178	524413	BlankScreen	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
2.421	1.0	524413	525453	ELCue	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
3.867	2.0	525859	528499	ShowFixation	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
6.507	0.2	528499	528734	BlankScreen	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
6.742	1.0	528734	529774	ELCue	ANTI	2	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
8.187	2.0	530179	532803	ShowFixation	VGS	3	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
10.811	0.2	532803	533022	BlankScreen	VGS	3	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
11.03	1.0	533022	534045	ELCue	VGS	3	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
12.461	6.0	534453	541091	ShowFixation	ANTI	4	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
19.099	0.2	541091	541330	BlankScreen	ANTI	4	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
19.338	1.0	541330	542370	ELCue	ANTI	4	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
20.784	6.0	542776	549415	ShowFixation	ANTI	5	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
27.423	0.2	549415	549655	BlankScreen	ANTI	5	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
27.663	1.0	549655	550695	ELCue	ANTI	5	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
29.108	6.0	551100	557724	ShowFixation	VGS	6	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
35.732	0.2	557724	557963	BlankScreen	VGS	6	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
35.971	1.0	557963	559004	ELCue	VGS	6	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
37.416	2.0	559408	562048	ShowFixation	VGS	7	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
40.056	0.2	562048	562284	BlankScreen	VGS	7	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
40.292	1.0	562284	563325	ELCue	VGS	7	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
41.732	2.0	563724	566369	ShowFixation	ANTI	8	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
44.377	0.2	566369	566605	BlankScreen	ANTI	8	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
44.613	1.0	566605	567645	ELCue	ANTI	8	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
46.053	6.0	568045	574690	ShowFixation	ANTI	9	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
52.698	0.2	574690	574930	BlankScreen	ANTI	9	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
52.938	1.0	574930	575970	ELCue	ANTI	9	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
54.383	2.0	576375	579015	ShowFixation	VGS	10	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
57.023	0.2	579015	579250	BlankScreen	VGS	10	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
57.258	1.0	579250	580291	ELCue	VGS	10	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
58.703	6.0	580695	587336	ShowFixation	ANTI	11	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
65.345	0.2	587337	587575	BlankScreen	ANTI	11	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
65.584	1.0	587576	588616	ELCue	ANTI	11	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
67.027	6.0	589019	595662	ShowFixation	VGS	12	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
73.67	0.2	595662	595901	BlankScreen	VGS	12	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
73.909	1.0	595901	596941	ELCue	VGS	12	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
75.353	6.0	597345	603987	ShowFixation	VGS	13	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
81.995	0.2	603987	604226	BlankScreen	VGS	13	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
82.234	1.0	604226	605266	ELCue	VGS	13	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
83.677	6.0	605669	612312	ShowFixation	VGS	14	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
90.32	0.2	612312	612551	BlankScreen	VGS	14	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
90.559	1.0	612551	613591	ELCue	VGS	14	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
92.006	2.0	613998	616637	ShowFixation	ANTI	15	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
94.645	0.2	616637	616872	BlankScreen	ANTI	15	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
94.88	1.0	616872	617912	ELCue	ANTI	15	1	True	red	180	[1035 1515  405  675]	[405 885 405 675]
96.324	2.0	618316	620957	ShowFixation	VGS	16	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
98.965	0.2	620957	621193	BlankScreen	VGS	16	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
99.201	1.0	621193	622233	ELCue	VGS	16	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
135.321	2.0	657313	659345	ShowFixation	ANTI	17	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
137.353	0.2	659345	659581	BlankScreen	ANTI	17	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
137.589	1.0	659581	660581	ELCue	ANTI	17	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
138.989	2.0	660981	663016	ShowFixation	VGS	18	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
141.024	0.2	663016	663251	BlankScreen	VGS	18	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
141.259	1.0	663251	664251	ELCue	VGS	18	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
142.663	6.0	664655	670686	ShowFixation	VGS	19	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
148.694	0.2	670686	670925	BlankScreen	VGS	19	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
148.933	1.0	670925	671925	ELCue	VGS	19	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
150.337	6.0	672329	678360	ShowFixation	ANTI	20	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
156.369	0.2	678361	678599	BlankScreen	ANTI	20	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
156.608	1.0	678600	679600	ELCue	ANTI	20	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
158.012	6.0	680004	686035	ShowFixation	ANTI	21	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
164.043	0.2	686035	686275	BlankScreen	ANTI	21	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
