participant_id	condition	accuracy	reaction_time
sub-23979	incongruent	0	0.130
sub-23979	congruent	0	0.167
sub-23979	congruent	1	0.272
sub-23979	congruent	1	0.293
sub-23979	incongruent	0	0.229
sub-23979	congruent	1	0.225
sub-23979	incongruent	1	0.020
sub-23979	incongruent	1	0.371
sub-23979	incongruent	0	0.019
sub-23979	congruent	1	0.081
sub-23979	congruent	1	0.032
sub-23979	incongruent	0	0.142
sub-23979	incongruent	0	0.245
sub-23979	incongruent	0	0.186
sub-23979	incongruent	0	0.239
sub-23979	incongruent	1	0.245
sub-23979	congruent	1	0.274
sub-23979	congruent	0	0.118
sub-23979	incongruent	0	0.127
sub-23979	congruent	1	0.134
sub-23979	congruent	0	0.023
sub-23979	incongruent	0	0.070
sub-23979	congruent	1	0.287
sub-23979	incongruent	1	0.131
sub-23979	congruent	0	0.194
sub-23979	congruent	1	0.015
sub-23979	incongruent	1	0.091
sub-23979	incongruent	0	0.029
sub-23979	congruent	1	0.413
sub-23979	congruent	1	0.351
sub-23979	congruent	0	0.377
sub-23979	incongruent	1	0.019
sub-23979	incongruent	0	0.021
sub-23979	incongruent	0	0.036
sub-23979	congruent	0	0.087
sub-23979	incongruent	0	0.116
sub-23979	congruent	0	0.021
sub-23979	incongruent	1	0.340
sub-23979	congruent	0	0.157
sub-23979	incongruent	1	0.120
sub-23979	incongruent	1	0.157
sub-23979	incongruent	0	0.041
sub-23979	congruent	1	0.114
sub-23979	congruent	1	0.059
sub-23979	congruent	0	0.352
sub-23979	congruent	0	0.187
sub-23979	congruent	1	0.207
sub-23979	incongruent	0	0.166
