onset	duration	eye	startTime	stopTime
8.297	0.184	R	391571	391754
8.303	0.181	L	391577	391757
12.571	0.132	L	395845	395976
12.561	0.146	R	395835	395980
20.904	0.093	L	404178	404270
20.887	0.115	R	404161	404275
29.092	0.128	L	412366	412493
29.082	0.14	R	412356	412495
33.442	0.098	L	416716	416813
33.434	0.115	R	416708	416822
37.684	0.1	L	420958	421057
37.678	0.112	R	420952	421063
45.988	0.092	R	429262	429353
45.98	0.112	L	429254	429365
46.243	0.175	L	429517	429691
46.236	0.182	R	429510	429691
48.158	0.096	L	431432	431527
48.158	0.096	R	431432	431527
54.417	0.188	R	437691	437878
54.419	0.19	L	437693	437882
55.345	0.109	L	438619	438727
55.341	0.115	R	438615	438729
67.083	0.164	L	450357	450520
67.071	0.18	R	450345	450524
68.567	0.141	L	451841	451981
68.558	0.158	R	451832	451989
71.792	0.103	L	455066	455168
71.785	0.114	R	455059	455172
79.712	0.1	R	462986	463085
79.718	0.098	L	462992	463089
80.115	0.115	L	463389	463503
80.108	0.125	R	463382	463506
87.9	0.072	R	471174	471245
87.891	0.085	L	471165	471249
88.501	0.111	R	471775	471885
88.502	0.111	L	471776	471886
96.325	0.068	L	479599	479666
96.318	0.081	R	479592	479672
144.444	0.064	L	527718	527781
144.431	0.084	R	527705	527788
144.925	0.102	R	528199	528300
144.932	0.097	L	528206	528302
155.526	0.099	L	538800	538898
155.53	0.095	R	538804	538898
169.963	0.072	L	553237	553308
169.957	0.085	R	553231	553315
170.271	0.149	R	553545	553693
170.269	0.152	L	553543	553694
170.665	0.106	L	553939	554044
170.661	0.112	R	553935	554046
181.036	0.002	R	564310	564311
188.692	0.029	L	571966	571994
189.036	0.143	R	572310	572452
189.04	0.141	L	572314	572454
189.768	0.099	L	573042	573140
189.765	0.108	R	573039	573146
196.988	0.077	L	580262	580338
196.982	0.097	R	580256	580352
207.381	0.057	L	590655	590711
207.368	0.077	R	590642	590718
207.819	0.149	R	591093	591241
207.822	0.148	L	591096	591243
208.166	0.129	R	591440	591568
208.163	0.139	L	591437	591575
215.653	0.061	L	598927	598987
215.652	0.074	R	598926	598999
215.962	0.127	R	599236	599362
215.964	0.126	L	599238	599363
222.786	0.094	L	606060	606153
222.785	0.098	R	606059	606156
229.983	0.108	L	613257	613364
229.985	0.108	R	613259	613366
237.608	0.156	R	620882	621037
237.611	0.157	L	620885	621041
238.203	0.149	R	621477	621625
238.204	0.149	L	621478	621626
245.417	0.104	L	628691	628794
245.418	0.105	R	628692	628796
249.626	0.107	R	632900	633006
249.622	0.114	L	632896	633009
258.936	0.091	L	642210	642300
258.931	0.102	R	642205	642306
264.581	0.132	L	647855	647986
264.581	0.133	R	647855	647987
264.917	0.134	L	648191	648324
264.912	0.139	R	648186	648324
265.558	0.223	L	648832	649054
265.555	0.226	R	648829	649054
265.929	0.417	L	649203	649619
265.932	0.417	R	649206	649622
272.414	0.137	R	655688	655824
272.412	0.14	L	655686	655825
272.819	0.125	R	656093	656217
272.819	0.131	L	656093	656223
279.792	0.147	R	663066	663212
279.79	0.158	L	663064	663221
280.319	0.12	R	663593	663712
280.317	0.128	L	663591	663718
283.412	0.133	L	666686	666818
283.406	0.144	R	666680	666823
290.657	0.271	L	673931	674201
290.658	0.274	R	673932	674205
291.092	0.183	R	674366	674548
291.09	0.198	L	674364	674561
291.804	0.212	L	675078	675289
291.805	0.212	R	675079	675290
298.324	0.083	L	681598	681680
298.319	0.092	R	681593	681684
298.648	0.187	R	681922	682108
298.648	0.192	L	681922	682113
299.001	0.172	R	682275	682446
298.999	0.181	L	682273	682453
299.282	0.107	L	682556	682662
299.282	0.109	R	682556	682664
299.478	0.089	L	682752	682840
299.478	0.098	R	682752	682849
306.002	0.19	R	689276	689465
306.01	0.196	L	689284	689479
306.519	0.16	R	689793	689952
306.512	0.17	L	689786	689955
311.588	0.022	R	694862	694883
311.587	0.024	L	694861	694884
313.673	0.367	R	696947	697313
313.66	0.389	L	696934	697322
314.186	0.137	L	697460	697596
314.189	0.134	R	697463	697596
314.498	0.079	R	697772	697850
314.495	0.083	L	697769	697851
317.05	0.096	R	700324	700419
317.046	0.103	L	700320	700422
319.238	0.064	L	702512	702575
319.239	0.075	R	702513	702587
321.298	0.133	L	704572	704704
321.302	0.134	R	704576	704709
321.727	0.136	R	705001	705136
321.725	0.141	L	704999	705139
322.007	0.135	R	705281	705415
322.003	0.142	L	705277	705418
384.283	0.132	R	767557	767688
384.282	0.137	L	767556	767692
395.663	0.113	R	778937	779049
395.662	0.119	L	778936	779054
403.414	0.115	L	786688	786802
403.415	0.126	R	786689	786814
410.879	0.144	L	794153	794296
410.874	0.161	R	794148	794308
433.702	0.142	R	816976	817117
433.701	0.15	L	816975	817124
434.47	0.132	L	817744	817875
434.462	0.144	R	817736	817879
448.601	0.074	L	831875	831948
448.584	0.109	R	831858	831966
448.894	0.168	L	832168	832335
448.889	0.184	R	832163	832346
456.451	0.147	L	839725	839871
456.444	0.169	R	839718	839886
456.884	0.137	L	840158	840294
456.881	0.152	R	840155	840306
475.364	0.171	L	858638	858808
475.358	0.183	R	858632	858814
476.367	0.111	L	859641	859751
476.362	0.121	R	859636	859756
476.848	0.114	L	860122	860235
476.842	0.128	R	860116	860243
479.064	0.158	R	862338	862495
479.066	0.157	L	862340	862496
479.632	0.111	L	862906	863016
479.631	0.123	R	862905	863027
487.063	0.108	L	870337	870444
487.057	0.127	R	870331	870457
505.475	0.135	L	888749	888883
505.467	0.153	R	888741	888893
505.955	0.19	R	889229	889418
505.973	0.174	L	889247	889420
506.788	0.115	L	890062	890176
506.774	0.145	R	890048	890192
512.89	0.127	L	896164	896290
512.88	0.158	R	896154	896311
514.254	0.104	L	897528	897631
514.235	0.154	R	897509	897662
520.978	0.175	L	904252	904426
520.958	0.206	R	904232	904437
532.711	0.124	L	915985	916108
532.688	0.172	R	915962	916133
551.756	0.115	L	935030	935144
551.74	0.145	R	935014	935158
554.72	0.113	L	937994	938106
554.711	0.147	R	937985	938131
558.55	0.135	L	941824	941958
558.537	0.158	R	941811	941968
583.279	0.05	L	966553	966602
583.28	0.056	R	966554	966609
586.244	0.125	L	969518	969642
586.249	0.121	R	969523	969643
597.635	0.115	L	980909	981023
597.632	0.134	R	980906	981039
597.969	0.153	L	981243	981395
597.964	0.158	R	981238	981395
604.737	0.059	L	988011	988069
604.732	0.081	R	988006	988086
605.161	0.167	L	988435	988601
605.157	0.173	R	988431	988603
608.678	0.142	L	991952	992093
608.673	0.162	R	991947	992108
619.95	0.18	L	1003224	1003403
619.944	0.187	R	1003218	1003404
620.408	0.155	R	1003682	1003836
620.41	0.157	L	1003684	1003840
622.566	0.125	L	1005840	1005964
622.552	0.146	R	1005826	1005971
628.56	0.103	L	1011834	1011936
628.545	0.136	R	1011819	1011954
635.577	0.084	L	1018851	1018934
635.552	0.138	R	1018826	1018963
646.457	0.131	L	1029731	1029861
646.448	0.164	R	1029722	1029885
665.2	0.208	L	1048474	1048681
665.195	0.218	R	1048469	1048686
665.847	0.106	L	1049121	1049226
665.842	0.117	R	1049116	1049232
676.461	0.07	L	1059735	1059804
676.452	0.096	R	1059726	1059821
676.704	0.16	L	1059978	1060137
676.699	0.17	R	1059973	1060142
677.445	0.171	L	1060719	1060889
677.433	0.19	R	1060707	1060896
677.916	0.195	L	1061190	1061384
677.913	0.2	R	1061187	1061386
699.197	0.147	L	1082471	1082617
699.195	0.152	R	1082469	1082620
718.578	0.142	L	1101852	1101993
718.562	0.164	R	1101836	1101999
752.557	0.118	L	1135831	1135948
752.552	0.127	R	1135826	1135952
752.983	0.13	L	1136257	1136386
752.976	0.143	R	1136250	1136392
