onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.362	0.042	L	585994	586035	1433.0	456.0	1005.9	556.8	9.41	415
0.363	0.043	R	585995	586037	1397.9	384.4	982.6	543.4	9.54	365
0.939	0.156	R	586571	586726	942.9	549.4	975.7	465.3	2.00	1802
0.939	0.17	L	586571	586740	990.4	586.4	965.5	576.7	0.59	1500
3.188	0.038	L	588820	588857	967.4	574.1	1129.8	502.9	3.93	143
3.192	0.036	R	588824	588859	985.2	551.1	1147.9	496.8	3.79	131
3.504	0.026	L	589136	589161	1150.4	511.5	965.7	537.9	4.12	254
3.504	0.026	R	589136	589161	1155.7	515.1	994.6	557.9	3.69	248
5.116	0.294	R	590748	591041	954.2	568.1	977.2	459.2	2.49	1599
5.123	0.315	L	590755	591069	974.2	564.3	930.0	462.5	2.48	1497
5.85	0.061	R	591482	591542	985.5	595.3	1697.0	333.0	16.20	403
5.849	0.071	L	591481	591551	987.3	549.7	1714.8	262.6	16.69	425
6.141	0.049	L	591773	591821	1686.4	306.0	1093.0	500.1	13.33	419
6.139	0.054	R	591771	591824	1689.5	319.6	1100.8	532.2	13.37	351
6.484	0.024	L	592116	592139	1087.7	498.1	962.8	537.3	2.90	230
6.486	0.022	R	592118	592139	1091.5	514.1	963.9	561.7	3.02	222
6.824	0.032	R	592456	592487	947.6	553.3	1209.4	562.1	5.78	327
6.825	0.035	L	592457	592491	935.1	543.6	1220.3	531.7	6.30	300
6.983	0.022	L	592615	592636	1210.5	560.2	1308.0	546.2	2.16	198
6.984	0.021	R	592616	592636	1204.3	565.6	1306.9	547.4	2.28	196
7.744	0.037	L	593376	593412	1273.4	559.0	924.9	563.4	7.70	323
7.745	0.039	R	593377	593415	1265.2	601.6	957.5	610.0	6.80	249
8.734	0.017	R	594366	594382	941.8	556.8	986.5	554.3	0.99	85
8.735	0.018	L	594367	594384	890.9	585.2	939.7	602.0	1.15	86
9.249	0.024	R	594881	594904	977.2	570.8	1118.1	540.4	3.20	248
9.253	0.022	L	594885	594906	950.3	593.3	1054.1	498.3	3.14	224
9.395	0.053	R	595027	595079	1106.3	509.6	1677.8	467.9	12.27	401
9.397	0.055	L	595029	595083	1060.4	505.0	1622.5	531.6	12.04	342
9.722	0.036	L	595354	595389	1636.9	521.6	1362.8	471.2	5.89	292
9.722	0.037	R	595354	595390	1665.6	466.6	1406.5	425.0	5.55	238
10.205	0.045	L	595837	595881	1365.5	489.8	980.1	569.3	8.63	349
10.205	0.048	R	595837	595884	1390.7	467.7	1035.7	547.6	7.98	295
10.403	0.014	R	596035	596048	1028.9	544.4	991.4	553.2	0.86	95
10.403	0.015	L	596035	596049	977.1	566.9	931.6	578.7	1.05	103
11.881	0.166	L	597513	597678	950.8	579.0	937.6	537.1	0.98	3270
11.872	0.247	R	597504	597750	983.3	551.2	982.2	530.9	0.45	611
12.157	0.017	R	597789	597805	984.7	535.4	996.7	499.1	0.85	61
12.349	0.014	R	597981	597994	1018.5	471.9	1000.0	508.9	0.91	97
12.576	0.015	R	598208	598222	1000.8	475.4	988.3	512.8	0.87	77
13.115	0.032	R	598747	598778	1000.3	503.0	996.1	499.5	0.12	200
15.134	0.05	L	600766	600815	953.7	588.1	380.3	553.2	12.50	389
15.123	0.068	R	600755	600822	1042.1	483.2	424.0	536.9	13.49	1270
15.299	0.018	R	600931	600948	408.1	572.9	354.9	590.5	1.19	102
15.302	0.023	L	600934	600956	382.8	549.0	358.9	555.6	0.53	96
15.467	0.102	L	601099	601200	347.8	558.4	2007.6	522.2	32.91	524
15.467	0.102	R	601099	601200	368.8	573.8	2149.4	469.9	35.36	657
15.72	0.024	L	601352	601375	2020.7	517.9	1818.2	550.5	3.99	328
15.722	0.026	R	601354	601379	2069.0	502.3	1842.4	549.5	4.51	319
16.167	0.056	L	601799	601854	1801.0	541.4	887.7	563.9	19.23	511
16.166	0.06	R	601798	601857	1811.0	534.6	951.4	562.1	18.11	468
16.377	0.029	R	602009	602037	951.3	547.3	1107.5	514.4	3.53	188
16.377	0.03	L	602009	602038	903.3	557.7	1065.4	535.8	3.62	190
17.006	0.018	R	602638	602655	1088.5	529.5	1022.1	542.0	1.50	147
17.006	0.02	L	602638	602657	1040.5	570.3	964.9	566.4	1.68	138
17.168	0.043	R	602800	602842	1015.7	542.4	1002.1	569.9	0.69	107
19.396	0.186	L	605028	605213	980.9	587.8	942.0	519.1	1.78	1811
19.393	0.199	R	605025	605223	1022.6	554.5	1014.2	469.8	1.92	1889
20.716	0.062	L	606348	606409	955.2	536.3	1839.6	622.4	18.93	503
20.716	0.062	R	606348	606409	981.2	543.9	1853.2	614.8	18.64	434
21.03	0.058	R	606662	606719	1819.8	609.5	944.9	588.7	18.72	503
21.03	0.063	L	606662	606724	1819.0	647.7	942.6	594.4	18.78	604
21.287	0.015	R	606919	606933	943.3	569.6	989.4	558.1	1.08	107
22.992	0.144	L	608624	608767	940.6	584.6	1002.2	583.7	1.39	1729
22.987	0.152	R	608619	608770	974.4	588.0	1039.4	535.9	1.89	2129
23.25	0.031	R	608882	608912	1025.7	578.7	1333.2	567.9	6.88	385
