onset	duration	eye	startTime	stopTime
0.001	0.044	R	767600	767643
0.001	0.05	L	767600	767649
1.008	0.523	L	768607	769129
1.008	0.523	R	768607	769129
4.251	0.138	R	771850	771987
4.245	0.148	L	771844	771991
8.577	0.086	L	776176	776261
8.586	0.078	R	776185	776262
13.3	0.1	R	780899	780998
13.289	0.125	L	780888	781012
17.6	0.099	R	785199	785297
17.592	0.115	L	785191	785305
20.819	0.148	R	788418	788565
20.814	0.155	L	788413	788567
27.007	0.066	R	794606	794671
26.996	0.083	L	794595	794677
30.787	0.139	L	798386	798524
30.778	0.156	R	798377	798532
31.241	0.204	R	798840	799043
33.595	0.148	R	801194	801341
33.584	0.165	L	801183	801347
38.355	0.182	L	805954	806135
38.356	0.181	R	805955	806135
43.134	1.958	L	810733	812690
43.136	1.961	R	810735	812695
46.15	0.094	R	813749	813842
46.148	0.099	L	813747	813845
50.637	0.181	R	818236	818416
50.636	0.186	L	818235	818420
52.431	0.063	L	820030	820092
52.433	0.062	R	820032	820093
55.587	0.07	R	823186	823255
55.576	0.094	L	823175	823268
59.419	0.143	R	827018	827160
59.408	0.16	L	827007	827166
63.29	0.026	L	830889	830914
63.446	0.26	L	831045	831304
63.449	0.259	R	831048	831306
65.398	0.192	R	832997	833188
66.563	0.152	R	834162	834313
66.56	0.16	L	834159	834318
72.565	0.107	L	840164	840270
72.568	0.106	R	840167	840272
77.453	0.16	L	845052	845211
77.453	0.168	R	845052	845219
81.33	0.257	R	848929	849185
83.851	0.24	R	851450	851689
85.42	0.126	L	853019	853144
85.425	0.126	R	853024	853149
90.692	0.064	R	858291	858354
90.684	0.078	L	858283	858360
96.501	0.145	R	864100	864244
96.495	0.158	L	864094	864251
97.593	0.148	R	865192	865339
97.59	0.155	L	865189	865343
140.895	0.204	L	908494	908697
140.904	0.196	R	908503	908698
148.22	0.095	R	915819	915913
148.212	0.109	L	915811	915919
152.277	0.065	R	919876	919940
152.267	0.09	L	919866	919955
155.586	0.116	R	923185	923300
155.576	0.132	L	923175	923306
171.44	0.233	L	939039	939271
171.441	0.239	R	939040	939278
182.134	0.031	R	949733	949763
182.115	0.077	L	949714	949790
183.926	0.095	L	951525	951619
183.924	0.112	R	951523	951634
190.394	0.054	L	957993	958046
190.398	0.062	R	957997	958058
191.299	0.102	R	958898	958999
193.183	0.164	R	960782	960945
194.343	0.369	L	961942	962310
194.34	0.397	R	961939	962335
197.259	0.187	L	964858	965044
197.261	0.19	R	964860	965049
197.803	0.366	R	965402	965767
197.798	0.387	L	965397	965783
198.676	0.123	L	966275	966397
198.682	0.122	R	966281	966402
201.505	0.12	R	969104	969223
201.488	0.142	L	969087	969228
203.655	0.081	L	971254	971334
203.664	0.072	R	971263	971334
205.581	0.107	R	973180	973286
205.574	0.119	L	973173	973291
205.91	0.118	L	973509	973626
205.913	0.116	R	973512	973627
208.91	0.049	R	976509	976557
208.895	0.106	L	976494	976599
210.187	0.271	L	977786	978056
210.181	0.287	R	977780	978066
213.222	0.17	L	980821	980990
213.218	0.176	R	980817	980992
