participant_id	trial_type	accuracy
sub-23973	BY	0
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	BY	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AY	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	AX	0
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AY	0
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AY	1
sub-23973	n/a	n/a
sub-23973	AY	0
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	0
sub-23973	AX	0
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AY	0
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	n/a	n/a
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AY	0
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	0
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AY	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	BX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	AX	1
sub-23973	n/a	n/a
