onset	duration	eye	startTime	stopTime
0.001	1.401	L	3342818	3344218
0.001	1.401	R	3342818	3344218
1.467	0.062	L	3344284	3344345
1.654	0.308	L	3344471	3344778
1.47	0.492	R	3344287	3344778
8.456	0.084	R	3351273	3351356
8.443	0.106	L	3351260	3351365
12.652	0.057	R	3355469	3355525
12.639	0.082	L	3355456	3355537
16.929	0.083	R	3359746	3359828
16.919	0.103	L	3359736	3359838
25.488	0.052	R	3368305	3368356
25.472	0.084	L	3368289	3368372
25.887	0.068	R	3368704	3368771
25.877	0.089	L	3368694	3368782
33.709	0.043	R	3376526	3376568
33.692	0.078	L	3376509	3376586
34.052	0.143	R	3376869	3377011
34.046	0.154	L	3376863	3377016
34.92	0.091	R	3377737	3377827
34.915	0.102	L	3377732	3377833
37.919	0.046	R	3380736	3380781
37.906	0.073	L	3380723	3380795
46.316	0.024	R	3389133	3389156
46.297	0.054	L	3389114	3389167
47.402	0.112	R	3390219	3390330
47.4	0.117	L	3390217	3390333
50.695	0.033	R	3393512	3393544
50.68	0.063	L	3393497	3393559
58.697	0.126	R	3401514	3401639
58.692	0.139	L	3401509	3401647
59.338	0.071	R	3402155	3402225
59.335	0.076	L	3402152	3402227
67.204	0.053	R	3410021	3410073
67.189	0.082	L	3410006	3410087
67.445	0.175	L	3410262	3410436
67.448	0.172	R	3410265	3410436
67.75	0.189	L	3410567	3410755
67.753	0.187	R	3410570	3410756
68.491	0.103	R	3411308	3411410
68.485	0.115	L	3411302	3411416
75.445	0.07	R	3418262	3418331
75.427	0.11	L	3418244	3418353
75.814	0.15	R	3418631	3418780
75.813	0.197	L	3418630	3418826
76.391	0.088	R	3419208	3419295
76.387	0.096	L	3419204	3419299
83.554	0.085	R	3426371	3426455
83.539	0.122	L	3426356	3426477
83.821	0.152	R	3426638	3426789
83.815	0.17	L	3426632	3426801
84.812	0.125	R	3427629	3427753
84.808	0.139	L	3427625	3427763
87.97	0.071	R	3430787	3430857
87.962	0.092	L	3430779	3430870
92.458	0.058	R	3435275	3435332
92.442	0.088	L	3435259	3435346
115.694	0.104	R	3458511	3458614
115.691	0.11	L	3458508	3458617
