onset	duration	eye	startTime	stopTime
-64.798	1.294	L	5257004	5258296
-64.798	1.294	R	5257004	5258296
-61.766	0.04	R	5260036	5260074
-61.776	0.094	L	5260026	5260118
-59.96	0.082	R	5261842	5261922
-59.974	0.132	L	5261828	5261958
-57.202	0.326	R	5264600	5264924
-57.178	0.324	L	5264624	5264946
-56.512	0.12	R	5265290	5265408
-56.516	0.138	L	5265286	5265422
-56.088	0.024	L	5265714	5265736
-55.802	0.442	R	5266000	5266440
-55.104	3.038	L	5266698	5269734
-55.292	3.226	R	5266510	5269734
-48.608	0.12	L	5273194	5273312
-48.612	0.142	R	5273190	5273330
-48.082	0.374	L	5273720	5274092
-48.078	0.376	R	5273724	5274098
-47.372	0.578	R	5274430	5275006
-47.378	0.594	L	5274424	5275016
-45.518	0.076	L	5276284	5276358
-45.518	0.076	R	5276284	5276358
-41.806	0.128	L	5279996	5280122
-41.806	0.13	R	5279996	5280124
-41.324	2.466	R	5280478	5282942
-41.324	3.192	L	5280478	5283668
-38.672	1.184	R	5283130	5284312
-37.084	2.608	L	5284718	5287324
-37.084	2.608	R	5284718	5287324
-32.7	0.034	L	5289102	5289134
-32.728	0.104	R	5289074	5289176
-31.718	0.12	L	5290084	5290202
-31.718	0.132	R	5290084	5290214
-28.812	1.948	R	5292990	5294936
-28.822	2.09	L	5292980	5295068
-26.808	0.076	R	5294994	5295068
-26.674	0.486	L	5295128	5295612
-26.674	0.486	R	5295128	5295612
-25.664	0.11	L	5296138	5296246
-25.664	0.116	R	5296138	5296252
-24.99	0.062	L	5296812	5296872
-25.0	0.086	R	5296802	5296886
-24.324	4.764	L	5297478	5302240
-24.332	4.772	R	5297470	5302240
-19.398	1.32	R	5302404	5303722
-18.76	0.702	L	5303042	5303742
-13.78	0.042	R	5308022	5308062
-13.786	0.052	L	5308016	5308066
-13.152	0.092	R	5308650	5308740
-13.152	0.104	L	5308650	5308752
-11.448	0.032	L	5310354	5310384
-10.762	0.046	L	5311040	5311084
-10.14	0.106	L	5311662	5311766
-9.486	0.106	L	5312316	5312420
-8.634	0.17	L	5313168	5313336
-12.286	4.76	R	5309516	5314274
-8.038	0.524	L	5313764	5314286
-5.616	3.304	L	5316186	5319488
-5.634	3.322	R	5316168	5319488
-1.072	0.07	L	5320730	5320798
-0.16	0.022	L	5321642	5321662
-0.64	0.502	R	5321162	5321662
0.002	0.452	L	5321804	5322254
0.002	0.672	R	5321804	5322474
1.8	0.092	R	5323602	5323692
1.794	0.118	L	5323596	5323712
2.32	0.14	R	5324122	5324260
2.314	0.156	L	5324116	5324270
4.818	0.104	R	5326620	5326722
4.816	0.11	L	5326618	5326726
6.572	0.076	R	5328374	5328448
6.57	0.088	L	5328372	5328458
9.94	0.056	R	5331742	5331796
9.928	0.094	L	5331730	5331822
12.44	0.068	L	5334242	5334308
12.438	0.076	R	5334240	5334314
13.212	0.154	R	5335014	5335166
13.146	0.262	L	5334948	5335208
14.108	0.164	R	5335910	5336072
14.054	0.308	L	5335856	5336162
26.348	0.014	R	5348150	5348162
26.322	0.076	L	5348124	5348198
28.338	0.022	R	5350140	5350160
28.328	0.04	L	5350130	5350168
36.676	0.068	L	5358478	5358544
36.668	0.08	R	5358470	5358548
39.856	0.022	R	5361658	5361678
39.838	0.07	L	5361640	5361708
42.606	0.036	R	5364408	5364442
42.6	0.052	L	5364402	5364452
48.058	0.046	R	5369860	5369904
48.028	0.112	L	5369830	5369940
49.43	0.13	L	5371232	5371360
49.428	0.132	R	5371230	5371360
51.838	1.086	L	5373640	5374724
51.878	1.046	R	5373680	5374724
53.112	0.77	L	5374914	5375682
54.02	0.142	L	5375822	5375962
54.206	0.01	R	5376008	5376016
54.8	0.058	R	5376602	5376658
54.798	0.084	L	5376600	5376682
55.816	0.05	R	5377618	5377666
55.804	0.098	L	5377606	5377702
56.938	0.056	R	5378740	5378794
56.928	0.106	L	5378730	5378834
59.06	0.08	R	5380862	5380940
59.044	0.116	L	5380846	5380960
60.26	0.082	R	5382062	5382142
60.25	0.11	L	5382052	5382160
63.098	0.07	R	5384900	5384968
63.082	0.106	L	5384884	5384988
64.768	0.088	R	5386570	5386656
64.75	0.158	L	5386552	5386708
67.312	0.15	R	5389114	5389262
67.302	0.196	L	5389104	5389298
68.732	0.084	R	5390534	5390616
68.708	0.152	L	5390510	5390660
71.076	0.086	R	5392878	5392962
71.072	0.112	L	5392874	5392984
73.256	0.07	R	5395058	5395126
73.246	0.124	L	5395048	5395170
75.646	0.048	L	5397448	5397494
76.934	0.08	R	5398736	5398814
76.922	0.102	L	5398724	5398824
79.866	0.13	R	5401668	5401796
79.864	0.14	L	5401666	5401804
83.434	0.082	L	5405236	5405316
83.444	0.076	R	5405246	5405320
85.884	0.042	L	5407686	5407726
85.872	0.082	R	5407674	5407754
88.18	0.304	R	5409982	5410284
88.174	0.34	L	5409976	5410314
89.528	0.13	R	5411330	5411458
89.512	0.196	L	5411314	5411508
91.292	0.112	R	5413094	5413204
91.288	0.126	L	5413090	5413214
94.204	0.082	R	5416006	5416086
94.196	0.128	L	5415998	5416124
97.934	0.088	L	5419736	5419822
97.934	0.102	R	5419736	5419836
125.126	1.066	L	5446928	5447992
125.126	1.066	R	5446928	5447992
127.21	0.09	R	5449012	5449100
127.21	0.104	L	5449012	5449114
133.648	0.062	R	5455450	5455510
133.644	0.082	L	5455446	5455526
137.28	0.048	R	5459082	5459128
137.266	0.094	L	5459068	5459160
141.978	0.094	R	5463780	5463872
141.97	0.11	L	5463772	5463880
145.964	0.128	L	5467766	5467892
145.964	0.134	R	5467766	5467898
148.806	0.068	L	5470608	5470674
148.808	0.066	R	5470610	5470674
156.4	0.21	L	5478202	5478410
156.382	0.244	R	5478184	5478426
159.984	0.14	R	5481786	5481924
159.976	0.16	L	5481778	5481936
163.84	0.086	R	5485642	5485726
163.832	0.126	L	5485634	5485758
168.622	0.108	R	5490424	5490530
168.62	0.126	L	5490422	5490546
175.03	0.06	R	5496832	5496890
175.022	0.09	L	5496824	5496912
179.13	0.122	R	5500932	5501052
179.116	0.156	L	5500918	5501072
