participant_id	condition	accuracy	reaction_time
sub-23793	congruent	1	0.536
sub-23793	congruent	1	0.453
sub-23793	congruent	1	0.497
sub-23793	incongruent	1	1.047
sub-23793	congruent	1	0.535
sub-23793	congruent	1	0.600
sub-23793	congruent	1	0.427
sub-23793	incongruent	0	0.543
sub-23793	congruent	1	1.288
sub-23793	incongruent	1	0.695
sub-23793	congruent	1	0.630
sub-23793	incongruent	1	0.741
sub-23793	congruent	1	0.686
sub-23793	congruent	1	0.470
sub-23793	congruent	1	0.633
sub-23793	incongruent	1	0.613
sub-23793	incongruent	1	0.921
sub-23793	congruent	1	0.440
sub-23793	incongruent	0	0.466
sub-23793	incongruent	1	0.789
sub-23793	incongruent	1	1.245
sub-23793	congruent	1	0.540
sub-23793	congruent	1	0.454
sub-23793	incongruent	1	0.496
sub-23793	congruent	1	0.519
sub-23793	incongruent	1	0.587
sub-23793	incongruent	1	0.963
sub-23793	incongruent	1	0.913
sub-23793	congruent	1	0.450
sub-23793	congruent	1	0.510
sub-23793	incongruent	1	0.771
sub-23793	incongruent	1	0.617
sub-23793	incongruent	1	0.579
sub-23793	incongruent	1	0.533
sub-23793	incongruent	1	0.562
sub-23793	congruent	1	0.598
sub-23793	congruent	1	0.438
sub-23793	incongruent	1	0.601
sub-23793	incongruent	1	0.579
sub-23793	congruent	1	0.458
sub-23793	congruent	1	0.517
sub-23793	incongruent	1	0.690
sub-23793	congruent	1	0.458
sub-23793	congruent	1	0.593
sub-23793	congruent	1	0.485
sub-23793	incongruent	1	0.644
sub-23793	incongruent	1	0.456
sub-23793	incongruent	0	0.473
sub-23793	congruent	1	0.557
sub-23793	congruent	1	0.661
sub-23793	congruent	1	0.504
sub-23793	congruent	1	0.470
sub-23793	incongruent	1	0.639
sub-23793	incongruent	1	0.606
sub-23793	incongruent	1	0.538
sub-23793	incongruent	1	0.569
sub-23793	congruent	1	0.407
sub-23793	incongruent	1	0.484
sub-23793	congruent	1	0.402
sub-23793	incongruent	1	0.500
sub-23793	incongruent	1	0.654
sub-23793	incongruent	1	0.471
sub-23793	congruent	1	0.388
sub-23793	congruent	1	0.363
sub-23793	congruent	1	0.366
sub-23793	congruent	1	0.379
sub-23793	incongruent	1	0.604
sub-23793	congruent	1	0.506
sub-23793	congruent	1	0.409
sub-23793	congruent	1	0.519
sub-23793	congruent	1	0.613
sub-23793	incongruent	1	0.667
sub-23793	incongruent	1	0.481
sub-23793	incongruent	1	0.553
sub-23793	congruent	1	0.522
sub-23793	incongruent	1	0.481
sub-23793	incongruent	1	0.524
sub-23793	congruent	1	0.507
sub-23793	incongruent	1	0.515
