participant_id	condition	accuracy	reaction_time
sub-23778	congruent	1	0.474
sub-23778	incongruent	1	0.565
sub-23778	incongruent	1	0.548
sub-23778	congruent	1	0.404
sub-23778	congruent	1	0.391
sub-23778	congruent	1	0.349
sub-23778	congruent	1	0.363
sub-23778	congruent	1	0.367
sub-23778	incongruent	1	0.501
sub-23778	incongruent	0	0.360
sub-23778	congruent	1	0.368
sub-23778	congruent	1	0.369
sub-23778	congruent	1	0.305
sub-23778	incongruent	0	0.325
sub-23778	congruent	1	0.335
sub-23778	congruent	1	0.376
sub-23778	congruent	1	0.340
sub-23778	incongruent	0	0.301
sub-23778	incongruent	0	0.411
sub-23778	congruent	1	0.354
sub-23778	congruent	1	0.389
sub-23778	congruent	1	0.342
sub-23778	incongruent	0	0.363
sub-23778	congruent	1	0.321
sub-23778	incongruent	0	0.347
sub-23778	congruent	1	0.387
sub-23778	incongruent	1	0.565
sub-23778	incongruent	1	0.523
sub-23778	congruent	1	0.336
sub-23778	congruent	1	0.353
sub-23778	incongruent	0	0.344
sub-23778	congruent	1	0.357
sub-23778	incongruent	0	0.341
sub-23778	incongruent	1	0.493
sub-23778	congruent	1	0.399
sub-23778	incongruent	1	0.470
sub-23778	congruent	1	0.394
sub-23778	congruent	1	0.454
sub-23778	incongruent	0	0.343
sub-23778	incongruent	1	0.792
sub-23778	incongruent	0	0.362
sub-23778	incongruent	0	0.363
sub-23778	incongruent	1	0.500
sub-23778	incongruent	0	0.365
sub-23778	incongruent	1	0.527
sub-23778	incongruent	1	0.479
sub-23778	congruent	1	0.338
sub-23778	incongruent	0	0.341
sub-23778	incongruent	0	0.365
sub-23778	incongruent	0	0.358
sub-23778	congruent	1	0.404
sub-23778	incongruent	1	0.543
sub-23778	incongruent	1	0.465
sub-23778	incongruent	1	0.498
sub-23778	congruent	1	0.344
sub-23778	congruent	1	0.338
sub-23778	congruent	1	0.366
sub-23778	incongruent	1	0.433
sub-23778	congruent	1	0.372
sub-23778	congruent	1	0.391
sub-23778	incongruent	1	0.551
sub-23778	incongruent	0	0.358
sub-23778	incongruent	0	0.329
sub-23778	incongruent	1	0.475
sub-23778	incongruent	0	0.335
sub-23778	congruent	1	0.342
sub-23778	congruent	1	0.303
sub-23778	congruent	1	0.357
sub-23778	congruent	1	0.342
sub-23778	congruent	1	0.328
sub-23778	congruent	1	0.337
sub-23778	incongruent	0	0.334
sub-23778	incongruent	1	0.446
sub-23778	congruent	1	0.337
sub-23778	congruent	1	0.308
sub-23778	incongruent	0	0.339
sub-23778	incongruent	0	0.289
sub-23778	congruent	1	0.315
sub-23778	congruent	1	0.342
sub-23778	congruent	1	0.322
sub-23778	incongruent	0	0.335
sub-23778	congruent	1	0.445
sub-23778	incongruent	1	0.500
sub-23778	incongruent	0	0.394
sub-23778	incongruent	0	0.433
sub-23778	incongruent	1	0.507
sub-23778	incongruent	0	0.369
sub-23778	congruent	1	0.392
sub-23778	incongruent	1	0.508
sub-23778	congruent	1	0.410
sub-23778	congruent	1	0.336
sub-23778	incongruent	1	0.487
sub-23778	congruent	1	0.433
sub-23778	incongruent	0	0.345
sub-23778	congruent	1	0.439
sub-23778	congruent	1	0.456
sub-23778	incongruent	0	0.331
sub-23778	incongruent	1	0.567
sub-23778	congruent	1	0.420
sub-23778	incongruent	1	0.476
sub-23778	congruent	1	0.414
sub-23778	incongruent	0	0.389
sub-23778	incongruent	1	0.531
sub-23778	congruent	1	0.392
sub-23778	congruent	1	0.349
sub-23778	incongruent	1	0.559
sub-23778	incongruent	1	0.513
sub-23778	incongruent	0	0.364
sub-23778	congruent	1	0.362
sub-23778	incongruent	1	0.507
sub-23778	congruent	1	0.369
sub-23778	congruent	1	0.424
sub-23778	incongruent	1	0.522
sub-23778	incongruent	1	0.497
sub-23778	congruent	1	0.380
sub-23778	congruent	1	0.381
sub-23778	congruent	1	0.382
sub-23778	congruent	1	0.356
sub-23778	congruent	1	0.366
sub-23778	incongruent	0	0.381
sub-23778	congruent	1	0.504
sub-23778	incongruent	0	0.331
sub-23778	incongruent	0	0.352
sub-23778	congruent	1	0.404
sub-23778	incongruent	1	0.469
sub-23778	congruent	1	0.360
sub-23778	incongruent	0	0.374
sub-23778	incongruent	1	0.633
sub-23778	incongruent	1	0.539
sub-23778	incongruent	1	0.546
sub-23778	incongruent	1	0.408
sub-23778	incongruent	1	0.534
sub-23778	incongruent	0	0.347
sub-23778	incongruent	1	0.508
sub-23778	congruent	1	0.388
sub-23778	congruent	1	0.363
sub-23778	congruent	1	0.371
sub-23778	incongruent	1	0.609
sub-23778	incongruent	1	0.558
sub-23778	incongruent	1	0.542
sub-23778	congruent	1	0.384
sub-23778	congruent	1	0.406
sub-23778	congruent	1	0.345
sub-23778	incongruent	1	0.504
sub-23778	incongruent	0	0.342
sub-23778	congruent	1	0.419
sub-23778	congruent	1	0.401
sub-23778	incongruent	1	0.486
sub-23778	incongruent	0	0.369
sub-23778	congruent	1	0.393
sub-23778	congruent	1	0.384
sub-23778	congruent	1	0.382
sub-23778	incongruent	1	0.597
sub-23778	incongruent	1	0.489
sub-23778	congruent	1	0.552
sub-23778	incongruent	1	0.465
sub-23778	incongruent	1	0.593
sub-23778	congruent	1	0.394
sub-23778	congruent	1	0.365
sub-23778	incongruent	0	0.355
sub-23778	congruent	1	0.664
sub-23778	congruent	1	0.387
sub-23778	congruent	1	0.372
sub-23778	incongruent	0	0.395
sub-23778	congruent	1	0.394
sub-23778	congruent	1	0.434
sub-23778	incongruent	1	0.449
sub-23778	incongruent	0	0.355
sub-23778	congruent	1	0.436
sub-23778	congruent	1	0.354
sub-23778	congruent	1	0.362
sub-23778	congruent	1	0.355
sub-23778	incongruent	1	0.464
sub-23778	congruent	1	0.369
sub-23778	congruent	1	0.367
sub-23778	congruent	1	0.418
sub-23778	incongruent	1	0.437
sub-23778	incongruent	1	0.435
sub-23778	incongruent	1	0.559
sub-23778	congruent	1	0.366
sub-23778	incongruent	0	0.612
sub-23778	incongruent	1	0.549
sub-23778	incongruent	1	0.522
sub-23778	congruent	1	0.444
sub-23778	incongruent	0	0.343
sub-23778	incongruent	1	0.525
sub-23778	incongruent	1	0.507
sub-23778	incongruent	1	0.479
sub-23778	congruent	1	0.367
sub-23778	incongruent	1	0.502
sub-23778	incongruent	1	0.500
sub-23778	congruent	1	0.434
sub-23778	incongruent	1	0.492
sub-23778	incongruent	1	0.533
sub-23778	congruent	1	0.424
sub-23778	incongruent	1	0.500
sub-23778	congruent	1	0.366
sub-23778	congruent	1	0.388
sub-23778	incongruent	0	0.321
sub-23778	congruent	1	0.371
sub-23778	incongruent	1	0.570
sub-23778	incongruent	1	0.470
sub-23778	incongruent	1	0.543
sub-23778	congruent	1	0.413
sub-23778	incongruent	1	0.547
sub-23778	congruent	1	0.348
sub-23778	congruent	1	0.611
