onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.125	0.189	L	2532500	2532688	1105.9	671.8	1128.9	713.3	0.81	764
0.127	0.187	R	2532502	2532688	1133.5	615.0	1158.4	682.6	1.23	1018
0.496	0.023	L	2532871	2532893	1113.4	665.0	953.1	570.7	3.16	264
0.493	0.029	R	2532868	2532896	1152.9	644.0	969.8	563.5	3.39	225
1.429	0.142	L	2533804	2533945	922.8	586.7	929.4	612.4	0.44	1839
1.426	0.148	R	2533801	2533948	957.6	533.3	970.7	567.6	0.62	1306
2.745	0.026	L	2535120	2535145	942.1	581.5	652.5	556.4	4.81	307
2.745	0.028	R	2535120	2535147	962.0	541.2	669.3	505.2	4.88	292
4.522	0.143	R	2536897	2537039	868.4	511.3	929.0	576.3	1.48	1628
4.517	0.151	L	2536892	2537042	868.6	559.5	908.8	604.6	1.01	1556
5.509	0.053	R	2537884	2537936	956.3	547.8	194.9	375.7	12.78	388
5.508	0.066	L	2537883	2537948	954.1	588.1	230.7	377.4	12.37	430
6.756	0.022	L	2539131	2539152	220.2	393.1	190.5	295.2	1.70	105
6.761	0.02	R	2539136	2539155	206.3	369.1	169.2	279.0	1.61	130
8.127	0.043	L	2540502	2540544	173.8	295.1	443.1	106.7	5.39	299
8.127	0.043	R	2540502	2540544	167.5	279.4	435.5	98.8	5.30	248
8.507	0.173	L	2540882	2541054	484.2	56.6	680.3	61.8	3.23	1452
8.504	0.179	R	2540879	2541057	463.6	103.4	709.3	36.8	4.19	2709
8.809	0.038	L	2541184	2541221	690.3	1.4	918.8	438.9	8.20	371
8.809	0.038	R	2541184	2541221	698.2	14.4	951.8	441.0	8.24	425
9.173	0.02	L	2541548	2541567	910.7	421.7	809.4	374.7	1.86	163
9.173	0.02	R	2541548	2541567	940.1	457.7	824.0	401.5	2.15	189
9.57	0.024	R	2541945	2541968	840.9	411.0	971.4	519.4	2.83	212
9.571	0.024	L	2541946	2541969	817.0	412.1	931.0	537.2	2.82	210
10.006	0.03	L	2542381	2542410	933.8	522.6	937.6	435.6	1.46	87
10.393	0.021	R	2542768	2542788	972.9	444.1	947.9	550.1	1.82	142
10.394	0.021	L	2542769	2542789	941.5	457.0	940.5	565.2	1.81	143
11.052	0.045	L	2543427	2543471	947.6	585.3	319.7	440.5	10.60	396
11.053	0.046	R	2543428	2543473	962.0	549.6	342.7	440.5	10.34	370
12.341	0.145	L	2544716	2544860	331.8	457.3	934.5	590.5	10.17	1256
12.345	0.148	R	2544720	2544867	342.7	401.6	938.4	510.9	9.97	973
13.028	0.015	L	2545403	2545417	901.2	533.4	937.8	550.7	0.67	65
13.029	0.014	R	2545404	2545417	929.9	518.9	962.3	540.5	0.65	64
13.79	0.058	L	2546165	2546222	942.4	577.3	108.8	414.4	13.87	393
13.791	0.057	R	2546166	2546222	953.7	541.3	146.1	425.6	13.31	345
14.313	0.173	L	2546688	2546860	123.0	433.2	302.5	478.5	3.00	939
14.323	0.165	R	2546698	2546862	146.9	404.2	332.3	359.1	3.10	1442
14.787	0.046	R	2547162	2547207	331.9	380.0	881.0	518.6	9.35	331
14.787	0.048	L	2547162	2547209	342.1	374.1	889.2	560.2	9.54	296
15.506	0.033	R	2547881	2547913	883.4	539.9	1308.4	562.7	6.98	363
15.508	0.032	L	2547883	2547914	891.2	540.1	1274.4	580.7	6.32	340
16.655	0.135	L	2549030	2549164	1313.1	561.9	1035.9	565.7	4.53	1013
16.652	0.141	R	2549027	2549167	1338.1	547.3	1061.1	554.1	4.53	988
17.297	0.018	R	2549672	2549689	1031.9	516.3	963.1	527.8	1.16	110
17.297	0.018	L	2549672	2549689	1005.0	526.3	936.8	545.9	1.18	104
18.443	0.016	R	2550818	2550833	985.0	546.6	934.1	547.0	0.84	78
18.445	0.014	L	2550820	2550833	945.1	564.7	904.4	569.1	0.68	70
18.718	0.014	L	2551093	2551106	927.0	559.8	968.3	552.5	0.69	68
19.524	0.027	R	2551899	2551925	957.3	538.4	1188.6	528.3	3.80	248
19.526	0.03	L	2551901	2551930	963.8	565.1	1215.8	566.1	4.14	221
19.783	0.025	R	2552158	2552182	1207.0	539.2	1264.3	533.8	0.94	144
19.784	0.025	L	2552159	2552183	1194.2	547.1	1250.2	552.1	0.92	141
21.012	0.155	L	2553387	2553541	1278.0	530.4	976.5	591.7	5.04	659
21.014	0.155	R	2553389	2553543	1291.7	527.9	1008.1	534.3	4.65	1023
21.969	0.045	R	2554344	2554388	974.7	545.0	1631.1	567.4	10.58	398
21.971	0.044	L	2554346	2554389	970.9	561.9	1596.7	587.6	10.09	370
22.292	0.043	R	2554667	2554709	1631.5	576.7	1145.0	550.7	7.80	271
22.292	0.044	L	2554667	2554710	1621.4	591.2	1119.5	540.8	8.08	320
22.593	0.024	L	2554968	2554991	1128.8	552.5	1292.6	546.7	2.68	198
22.593	0.024	R	2554968	2554991	1131.1	527.2	1289.2	506.4	2.60	208
22.783	0.024	R	2555158	2555181	1321.2	510.0	1518.8	471.0	3.23	234
22.783	0.025	L	2555158	2555182	1308.9	534.1	1500.9	498.0	3.14	214
22.998	0.026	L	2555373	2555398	1484.1	484.3	1244.3	429.8	3.97	286
22.998	0.026	R	2555373	2555398	1490.7	475.9	1251.0	445.5	3.89	265
24.094	0.024	R	2556469	2556492	1224.3	455.1	1373.5	481.3	2.46	175
24.095	0.023	L	2556470	2556492	1227.8	415.0	1372.7	452.0	2.43	185
24.47	0.04	R	2556845	2556884	1358.5	478.8	954.3	567.8	6.77	264
24.47	0.041	L	2556845	2556885	1364.2	430.3	952.6	529.3	6.93	311
24.928	0.17	L	2557303	2557472	960.7	543.9	962.4	581.8	0.63	1917
24.927	0.175	R	2557302	2557476	944.4	535.2	968.6	564.9	0.64	1046
25.945	0.152	L	2558320	2558471	967.3	559.5	948.2	553.6	0.33	1630
25.94	0.173	R	2558315	2558487	929.8	541.2	927.0	553.3	0.21	1209
26.636	0.019	R	2559011	2559029	930.7	552.2	1013.2	540.2	1.38	116
26.638	0.019	L	2559013	2559031	959.4	528.1	1039.0	541.2	1.33	112
26.864	0.019	L	2559239	2559257	1019.5	539.9	943.1	532.7	1.27	115
26.864	0.019	R	2559239	2559257	1014.2	541.6	915.3	543.8	1.64	148
27.217	0.016	L	2559592	2559607	952.9	557.4	1010.3	552.7	0.95	91
