onset	duration	eye	startTime	stopTime	xAvg	yAvg	pupilAvg
0.18	0.263	L	2006107	2006369	780.3	390.2	1131
0.18	0.263	R	2006107	2006369	835.5	409.2	964
0.47	0.827	L	2006397	2007223	932.9	508.7	1076
0.47	0.827	R	2006397	2007223	987.0	512.5	927
1.342	0.109	L	2007269	2007377	407.5	506.1	952
1.341	0.112	R	2007268	2007379	467.3	512.4	825
1.499	1.379	R	2007426	2008804	980.2	525.2	736
2.909	0.211	R	2008836	2009046	981.1	507.2	624
1.501	1.623	L	2007428	2009050	939.9	514.5	869
3.171	0.21	L	2009098	2009307	1554.5	497.9	823
3.169	0.214	R	2009096	2009309	1554.8	546.6	643
3.427	3.005	R	2009354	2012358	982.1	493.3	658
3.426	4.168	L	2009353	2013520	974.8	507.7	825
6.447	1.147	R	2012374	2013520	997.0	461.8	691
7.736	0.089	R	2013663	2013751	1002.3	482.2	621
7.736	0.093	L	2013663	2013755	978.7	495.0	786
7.844	0.18	R	2013771	2013950	916.2	502.6	640
7.845	0.18	L	2013772	2013951	901.8	513.5	803
8.044	0.293	R	2013971	2014263	1015.6	461.6	630
8.046	0.293	L	2013973	2014265	1017.7	509.7	846
8.462	0.412	R	2014389	2014800	966.5	496.9	588
8.891	0.438	R	2014818	2015255	988.4	447.5	483
9.428	0.228	R	2015355	2015582	955.8	412.4	395
9.69	0.33	R	2015617	2015946	965.2	433.1	455
10.036	1.936	R	2015963	2017898	985.0	519.5	690
8.445	3.535	L	2014372	2017906	978.3	513.4	811
12.018	0.071	L	2017945	2018015	1267.4	476.8	963
12.019	0.072	R	2017946	2018017	1314.2	521.4	724
12.129	0.164	L	2018056	2018219	1698.7	482.6	998
12.129	0.167	R	2018056	2018222	1713.0	547.8	671
12.346	0.208	R	2018273	2018480	994.2	506.8	702
12.343	0.213	L	2018270	2018482	961.1	481.1	962
12.614	0.176	R	2018541	2018716	1950.9	694.8	631
12.619	0.172	L	2018546	2018717	1930.4	657.0	881
12.811	0.093	L	2018738	2018830	2005.8	730.5	872
12.811	0.094	R	2018738	2018831	2025.9	739.6	576
12.964	0.116	R	2018891	2019006	1040.5	462.9	568
12.971	0.111	L	2018898	2019008	1018.8	504.0	790
13.1	0.175	R	2019027	2019201	964.7	465.7	562
13.289	0.101	R	2019216	2019316	986.4	451.1	527
13.541	0.022	R	2019468	2019489	970.8	429.7	482
13.599	0.042	R	2019526	2019567	974.7	367.4	421
13.673	0.056	R	2019600	2019655	945.1	326.0	378
13.774	0.042	R	2019701	2019742	964.3	387.9	401
13.891	0.167	R	2019818	2019984	967.4	367.5	370
14.089	0.16	R	2020016	2020175	958.7	406.6	398
14.284	0.029	R	2020211	2020239	950.2	370.7	385
14.335	0.187	R	2020262	2020448	989.1	425.3	409
14.546	0.161	R	2020473	2020633	985.6	452.6	454
14.73	0.179	R	2020657	2020835	988.3	404.2	437
14.925	0.457	R	2020852	2021308	995.5	468.7	575
13.1	2.288	L	2019027	2021314	967.2	496.8	655
15.427	0.247	R	2021354	2021600	1321.4	447.2	575
15.419	0.5	L	2021346	2021845	1301.9	490.0	782
15.688	0.231	R	2021615	2021845	1317.2	462.4	637
16.065	0.571	R	2021992	2022562	939.5	510.1	636
16.65	0.127	R	2022577	2022703	946.5	522.2	552
16.065	0.714	L	2021992	2022705	940.9	530.3	692
16.798	0.21	L	2022725	2022934	1009.3	507.2	656
16.795	0.253	R	2022722	2022974	1016.6	481.3	574
17.073	0.744	R	2023000	2023743	967.3	501.7	606
17.959	0.082	R	2023886	2023967	980.6	495.1	468
18.055	0.035	R	2023982	2024016	972.9	474.6	470
18.125	0.246	R	2024052	2024297	965.0	428.4	444
18.507	0.027	R	2024434	2024460	989.1	409.4	485
17.055	2.478	L	2022982	2025459	974.1	518.2	730
18.563	0.97	R	2024490	2025459	1017.7	514.6	658
19.578	0.56	R	2025505	2026064	1636.5	519.9	716
19.58	0.66	L	2025507	2026166	1591.9	492.6	976
20.154	0.086	R	2026081	2026166	1632.5	505.7	603
20.403	0.175	R	2026330	2026504	946.4	531.7	630
20.404	0.175	L	2026331	2026505	916.6	581.1	685
20.6	0.242	R	2026527	2026768	1020.3	501.0	665
20.595	0.248	L	2026522	2026769	1017.6	580.3	731
20.862	0.249	L	2026789	2027037	862.8	567.0	764
20.864	0.253	R	2026791	2027043	910.0	518.8	693
21.14	0.231	L	2027067	2027297	993.2	560.8	683
21.141	0.452	R	2027068	2027519	996.8	473.4	551
21.713	0.112	R	2027640	2027751	959.2	430.8	447
21.385	0.543	L	2027312	2027854	970.9	544.4	612
21.888	0.097	R	2027815	2027911	983.8	467.3	443
22.038	0.05	R	2027965	2028014	978.5	462.0	435
22.209	0.238	R	2028136	2028373	964.0	431.8	433
22.55	0.077	R	2028477	2028553	955.2	461.4	483
22.643	0.099	R	2028570	2028668	985.1	500.0	495
22.773	0.06	R	2028700	2028759	1017.4	537.7	513
22.87	0.122	R	2028797	2028918	1001.1	530.0	518
23.283	0.165	R	2029210	2029374	960.4	478.5	503
23.704	0.063	R	2029631	2029693	961.8	500.7	591
21.987	1.781	L	2027914	2029694	983.0	542.7	609
23.813	0.134	R	2029740	2029873	1598.2	516.1	652
23.817	0.744	L	2029744	2030487	1612.3	495.6	864
23.98	0.581	R	2029907	2030487	1641.6	499.3	681
24.686	0.165	L	2030613	2030777	1024.3	534.0	740
24.688	0.163	R	2030615	2030777	1008.8	437.8	607
24.872	0.181	L	2030799	2030979	903.1	533.1	680
24.869	0.192	R	2030796	2030987	926.3	497.8	632
25.084	0.404	L	2031011	2031414	999.5	525.5	710
25.514	0.193	L	2031441	2031633	885.3	514.0	677
25.08	0.878	R	2031007	2031884	981.8	495.5	585
25.741	0.439	L	2031668	2032106	965.4	537.3	698
25.972	0.444	R	2031899	2032342	968.1	447.6	533
26.471	2.416	R	2032398	2034813	985.0	477.2	598
26.195	6.007	L	2032122	2038128	978.2	522.9	792
28.901	3.303	R	2034828	2038130	977.7	489.0	682
32.276	0.24	R	2038203	2038442	348.1	485.7	767
32.252	0.271	L	2038179	2038449	337.7	505.3	897
32.582	0.303	L	2038509	2038811	1362.2	523.4	1004
32.581	0.304	R	2038508	2038811	1401.6	527.3	771
33.012	0.112	L	2038939	2039050	1363.2	545.0	973
33.012	0.113	R	2038939	2039051	1401.9	536.6	711
33.158	0.172	R	2039085	2039256	1044.3	481.0	650
33.157	0.175	L	2039084	2039258	997.7	518.0	874
33.351	0.231	L	2039278	2039508	854.8	506.2	797
33.349	0.233	R	2039276	2039508	913.5	490.1	656
33.603	0.361	L	2039530	2039890	998.7	531.3	797
33.981	0.226	L	2039908	2040133	947.0	524.8	733
33.605	0.607	R	2039532	2040138	1032.4	450.0	563
34.3	0.152	R	2040227	2040378	990.5	497.5	554
34.287	0.657	L	2040214	2040870	960.8	523.4	697
34.509	0.526	R	2040436	2040961	983.6	414.1	457
35.073	0.012	R	2041000	2041011	991.1	447.9	436
35.216	0.425	R	2041143	2041567	964.5	403.4	434
35.677	0.075	R	2041604	2041678	954.6	443.5	485
35.808	0.03	R	2041735	2041764	964.3	476.7	489
34.959	0.982	L	2040886	2041867	967.5	509.7	636
35.937	0.577	R	2041864	2042440	984.0	481.8	608
36.538	1.623	R	2042465	2044087	975.2	505.4	661
38.18	1.261	R	2044107	2045367	970.1	512.0	615
35.98	3.608	L	2041907	2045514	977.6	502.8	780
39.602	0.737	L	2045529	2046265	952.8	491.9	848
39.458	0.881	R	2045385	2046265	963.8	514.7	697
40.385	0.09	R	2046312	2046401	414.7	501.0	704
40.383	0.093	L	2046310	2046402	393.9	502.7	857
40.491	0.719	L	2046418	2047136	300.5	487.7	816
40.493	0.717	R	2046420	2047136	342.3	522.5	727
41.355	0.121	R	2047282	2047402	903.4	501.3	585
