participant_id	trial_type	accuracy
sub-23873	BY	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	BY	0
sub-23873	BY	0
sub-23873	AY	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AY	1
sub-23873	BY	0
sub-23873	AX	1
sub-23873	AY	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	BY	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	BX	1
sub-23873	AX	0
sub-23873	BY	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AY	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	BY	1
sub-23873	AX	0
sub-23873	AX	1
sub-23873	BY	1
sub-23873	AX	0
sub-23873	BX	0
sub-23873	AX	1
sub-23873	AY	0
sub-23873	AX	1
sub-23873	AY	0
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AY	1
sub-23873	n/a	n/a
sub-23873	AY	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	BX	1
sub-23873	BY	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AY	1
sub-23873	AX	1
sub-23873	AY	1
sub-23873	AY	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	BY	1
sub-23873	AX	1
sub-23873	BX	0
sub-23873	AX	1
sub-23873	BX	1
sub-23873	AX	1
sub-23873	BX	1
sub-23873	BX	0
sub-23873	AX	0
sub-23873	AX	0
sub-23873	BY	1
sub-23873	AX	1
sub-23873	BY	1
sub-23873	AY	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	BX	0
sub-23873	AX	0
sub-23873	BX	0
sub-23873	n/a	n/a
sub-23873	AX	0
sub-23873	BX	1
sub-23873	AY	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	0
sub-23873	BY	0
sub-23873	AX	1
sub-23873	AX	0
sub-23873	BY	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	1
sub-23873	BX	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AY	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	BY	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	BX	1
sub-23873	AX	1
sub-23873	BX	1
sub-23873	AY	1
sub-23873	AX	0
sub-23873	AX	1
sub-23873	BX	0
sub-23873	AX	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	0
sub-23873	AX	1
sub-23873	AX	0
sub-23873	BX	1
sub-23873	AX	1
sub-23873	AX	0
sub-23873	AX	1
sub-23873	n/a	n/a
