onset	duration	eye	startTime	stopTime
12.139	0.007	L	2122323	2122329
12.107	0.068	R	2122291	2122358
12.307	2.547	L	2122491	2125037
12.307	2.567	R	2122491	2125057
15.229	0.237	L	2125413	2125649
15.191	0.277	R	2125375	2125651
15.613	0.072	R	2125797	2125868
30.957	0.069	R	2141141	2141209
30.958	0.082	L	2141142	2141223
34.065	0.139	L	2144249	2144387
34.067	0.143	R	2144251	2144393
42.098	0.175	R	2152282	2152456
42.102	0.182	L	2152286	2152467
42.735	0.095	L	2152919	2153013
42.73	0.129	R	2152914	2153042
44.956	0.522	L	2155140	2155661
44.956	0.522	R	2155140	2155661
51.865	0.672	L	2162049	2162720
51.865	0.672	R	2162049	2162720
54.925	0.079	L	2165109	2165187
54.929	0.099	R	2165113	2165211
58.964	0.175	L	2169148	2169322
58.962	0.201	R	2169146	2169346
62.256	0.03	L	2172440	2172469
62.256	0.03	R	2172440	2172469
65.839	0.103	L	2176023	2176125
65.829	0.131	R	2176013	2176143
66.532	0.071	L	2176716	2176786
66.532	0.071	R	2176716	2176786
71.764	0.274	L	2181948	2182221
71.766	0.3	R	2181950	2182249
78.911	0.111	L	2189095	2189205
78.907	0.142	R	2189091	2189232
87.701	0.138	R	2197885	2198022
87.699	0.152	L	2197883	2198034
92.601	0.116	L	2202785	2202900
92.6	0.135	R	2202784	2202918
98.005	0.116	L	2208189	2208304
98.002	0.133	R	2208186	2208318
152.205	0.08	L	2262389	2262468
152.195	0.103	R	2262379	2262481
169.601	1.531	L	2279785	2281315
169.601	1.531	R	2279785	2281315
171.659	0.194	L	2281843	2282036
171.659	0.194	R	2281843	2282036
186.436	0.132	R	2296620	2296751
186.456	0.119	L	2296640	2296758
217.164	0.043	L	2327348	2327390
217.155	0.067	R	2327339	2327405
228.023	0.092	L	2338207	2338298
228.019	0.101	R	2338203	2338303
238.789	0.096	R	2348973	2349068
238.799	0.102	L	2348983	2349084
241.199	0.151	R	2351383	2351533
241.206	0.153	L	2351390	2351542
243.155	0.183	R	2353339	2353521
243.159	0.193	L	2353343	2353535
263.376	0.121	R	2373560	2373680
263.387	0.163	L	2373571	2373733
263.934	0.099	L	2374118	2374216
263.931	0.306	R	2374115	2374420
264.168	0.096	L	2374352	2374447
264.995	0.108	L	2375179	2375286
264.989	0.177	R	2375173	2375349
265.599	0.118	R	2375783	2375900
265.595	0.127	L	2375779	2375905
268.895	0.089	R	2379079	2379167
268.886	0.138	L	2379070	2379207
276.563	0.131	R	2386747	2386877
276.56	0.143	L	2386744	2386886
277.096	0.125	R	2387280	2387404
277.105	0.129	L	2387289	2387417
287.374	0.09	L	2397558	2397647
287.367	0.113	R	2397551	2397663
295.663	0.108	R	2405847	2405954
295.671	0.127	L	2405855	2405981
