participant_id	condition	accuracy	reaction_time
sub-23865	congruent	1	0.970
sub-23865	incongruent	1	0.769
sub-23865	incongruent	1	0.702
sub-23865	congruent	1	0.566
sub-23865	congruent	1	0.404
sub-23865	incongruent	1	0.666
sub-23865	incongruent	1	0.660
sub-23865	incongruent	1	0.656
sub-23865	incongruent	1	0.589
sub-23865	congruent	1	0.557
sub-23865	incongruent	1	0.592
sub-23865	incongruent	1	0.591
sub-23865	incongruent	1	0.521
sub-23865	incongruent	1	0.452
sub-23865	incongruent	1	0.568
sub-23865	incongruent	1	0.701
sub-23865	incongruent	1	0.724
sub-23865	incongruent	1	0.540
sub-23865	congruent	1	0.455
sub-23865	congruent	1	0.507
sub-23865	incongruent	1	0.629
sub-23865	congruent	1	0.501
sub-23865	congruent	1	0.549
sub-23865	congruent	1	0.346
sub-23865	incongruent	1	0.646
sub-23865	congruent	1	0.467
sub-23865	congruent	1	0.702
sub-23865	congruent	1	0.568
sub-23865	congruent	1	0.661
sub-23865	congruent	1	0.473
sub-23865	incongruent	1	1.177
sub-23865	incongruent	1	0.671
sub-23865	incongruent	1	0.750
sub-23865	incongruent	1	0.782
sub-23865	incongruent	1	0.616
sub-23865	congruent	1	0.528
sub-23865	congruent	1	0.553
sub-23865	incongruent	1	0.600
sub-23865	congruent	1	0.502
sub-23865	congruent	1	0.516
sub-23865	congruent	1	0.494
sub-23865	congruent	1	0.555
sub-23865	congruent	1	0.520
sub-23865	congruent	1	0.400
sub-23865	incongruent	1	0.686
sub-23865	incongruent	1	0.609
sub-23865	incongruent	1	0.707
sub-23865	congruent	1	0.563
sub-23865	congruent	1	0.454
sub-23865	congruent	1	0.619
sub-23865	congruent	1	0.407
sub-23865	congruent	1	0.494
sub-23865	incongruent	1	0.910
sub-23865	congruent	1	0.612
sub-23865	congruent	1	0.525
sub-23865	incongruent	1	1.037
sub-23865	incongruent	1	0.813
sub-23865	congruent	1	0.617
sub-23865	incongruent	1	0.763
sub-23865	incongruent	1	0.879
sub-23865	congruent	1	1.109
sub-23865	congruent	1	0.506
sub-23865	congruent	1	0.475
sub-23865	incongruent	1	0.819
sub-23865	incongruent	1	0.793
sub-23865	incongruent	1	0.628
sub-23865	congruent	1	0.561
sub-23865	incongruent	1	0.556
sub-23865	congruent	1	0.517
sub-23865	congruent	1	0.414
sub-23865	congruent	1	0.478
sub-23865	congruent	1	0.553
sub-23865	incongruent	1	1.309
sub-23865	incongruent	1	0.605
sub-23865	congruent	1	0.460
sub-23865	congruent	1	0.580
sub-23865	incongruent	1	0.384
sub-23865	incongruent	1	0.769
sub-23865	congruent	1	0.489
sub-23865	congruent	1	0.423
sub-23865	congruent	1	0.562
sub-23865	incongruent	1	0.965
sub-23865	congruent	1	0.505
sub-23865	incongruent	1	1.054
sub-23865	incongruent	1	0.894
sub-23865	congruent	1	0.491
sub-23865	incongruent	1	1.310
sub-23865	congruent	1	0.488
sub-23865	congruent	1	0.480
sub-23865	congruent	1	0.442
