participant_id	condition	accuracy	reaction_time
sub-24396	congruent	1	0.751
sub-24396	incongruent	0	0.533
sub-24396	congruent	1	0.560
sub-24396	congruent	1	0.570
sub-24396	incongruent	1	0.551
sub-24396	congruent	0	0.533
sub-24396	incongruent	1	0.616
sub-24396	incongruent	1	0.465
sub-24396	incongruent	1	0.457
sub-24396	incongruent	1	0.494
sub-24396	congruent	1	0.470
sub-24396	incongruent	1	0.453
sub-24396	congruent	0	0.446
sub-24396	congruent	1	0.540
sub-24396	incongruent	0	0.435
sub-24396	incongruent	1	0.472
sub-24396	congruent	1	0.666
sub-24396	congruent	1	0.483
sub-24396	incongruent	1	0.577
sub-24396	incongruent	1	0.483
sub-24396	congruent	1	0.404
sub-24396	incongruent	1	0.501
sub-24396	congruent	1	0.464
sub-24396	incongruent	1	0.463
sub-24396	congruent	1	0.523
sub-24396	congruent	1	0.430
sub-24396	congruent	1	0.517
sub-24396	congruent	1	0.436
sub-24396	congruent	1	0.422
sub-24396	congruent	1	0.386
sub-24396	incongruent	1	0.460
sub-24396	incongruent	1	0.420
sub-24396	incongruent	1	0.466
sub-24396	incongruent	1	0.453
sub-24396	incongruent	1	0.636
sub-24396	congruent	1	0.448
sub-24396	congruent	1	0.479
sub-24396	congruent	1	0.541
sub-24396	incongruent	1	0.485
sub-24396	incongruent	1	0.527
sub-24396	incongruent	1	0.537
sub-24396	congruent	1	0.459
sub-24396	congruent	0	0.443
sub-24396	congruent	1	0.436
sub-24396	incongruent	1	0.501
sub-24396	incongruent	1	0.533
sub-24396	incongruent	1	0.459
sub-24396	incongruent	0	0.425
sub-24396	congruent	1	0.490
sub-24396	congruent	1	0.479
sub-24396	congruent	1	0.490
sub-24396	incongruent	1	0.588
sub-24396	congruent	1	0.434
sub-24396	congruent	1	0.473
sub-24396	congruent	1	0.694
sub-24396	incongruent	1	0.599
sub-24396	incongruent	1	0.563
sub-24396	congruent	1	0.525
sub-24396	incongruent	1	0.556
sub-24396	incongruent	1	0.617
sub-24396	congruent	0	0.584
sub-24396	congruent	1	0.356
sub-24396	incongruent	0	0.410
sub-24396	incongruent	1	0.429
sub-24396	congruent	1	0.411
sub-24396	incongruent	0	0.392
sub-24396	incongruent	0	0.313
sub-24396	incongruent	0	0.390
sub-24396	incongruent	1	0.485
sub-24396	congruent	1	0.454
sub-24396	incongruent	1	0.360
sub-24396	congruent	0	0.294
sub-24396	incongruent	0	0.326
sub-24396	incongruent	0	0.300
sub-24396	congruent	1	0.572
sub-24396	incongruent	1	0.534
sub-24396	congruent	1	0.425
sub-24396	incongruent	0	0.399
sub-24396	congruent	1	0.425
sub-24396	congruent	1	0.519
sub-24396	incongruent	1	0.477
sub-24396	congruent	1	0.450
sub-24396	incongruent	0	0.371
sub-24396	congruent	0	0.256
sub-24396	congruent	1	0.350
sub-24396	incongruent	1	0.422
sub-24396	congruent	1	0.454
sub-24396	incongruent	0	0.308
sub-24396	incongruent	1	0.399
sub-24396	congruent	1	0.414
sub-24396	congruent	1	0.414
sub-24396	congruent	1	0.451
sub-24396	incongruent	1	0.465
sub-24396	congruent	0	0.335
