participant_id	condition	accuracy	reaction_time
sub-24292	incongruent	0	0.395
sub-24292	congruent	1	0.351
sub-24292	incongruent	0	0.357
sub-24292	congruent	1	0.547
sub-24292	congruent	1	0.259
sub-24292	incongruent	0	0.341
sub-24292	congruent	1	0.471
sub-24292	incongruent	0	0.279
sub-24292	incongruent	1	0.347
sub-24292	congruent	1	0.297
sub-24292	congruent	1	0.320
sub-24292	congruent	1	0.336
sub-24292	incongruent	1	0.341
sub-24292	congruent	1	0.275
sub-24292	incongruent	0	0.320
sub-24292	incongruent	1	0.548
sub-24292	incongruent	1	0.438
sub-24292	congruent	1	0.512
sub-24292	congruent	1	0.363
sub-24292	incongruent	1	0.554
sub-24292	congruent	1	0.415
sub-24292	incongruent	0	0.293
sub-24292	incongruent	1	0.510
sub-24292	congruent	1	0.332
sub-24292	incongruent	0	0.284
sub-24292	incongruent	1	0.500
sub-24292	congruent	1	0.416
sub-24292	congruent	1	0.452
sub-24292	congruent	1	0.442
sub-24292	congruent	1	0.468
sub-24292	congruent	1	0.350
sub-24292	congruent	1	0.335
sub-24292	incongruent	1	0.488
sub-24292	congruent	1	0.401
sub-24292	incongruent	1	0.509
sub-24292	congruent	1	0.280
sub-24292	incongruent	1	0.223
sub-24292	congruent	1	0.452
sub-24292	incongruent	0	0.432
sub-24292	congruent	1	0.639
sub-24292	incongruent	1	0.502
sub-24292	incongruent	1	0.566
sub-24292	congruent	0	0.319
sub-24292	incongruent	1	0.646
sub-24292	congruent	1	0.424
sub-24292	congruent	1	0.384
sub-24292	incongruent	0	0.440
sub-24292	incongruent	1	0.542
sub-24292	incongruent	1	0.568
sub-24292	incongruent	1	0.582
sub-24292	congruent	1	0.509
sub-24292	congruent	1	0.444
sub-24292	incongruent	1	0.671
sub-24292	incongruent	1	0.523
sub-24292	congruent	1	0.593
sub-24292	incongruent	1	0.599
sub-24292	incongruent	1	0.643
sub-24292	congruent	1	0.389
sub-24292	incongruent	1	0.551
sub-24292	congruent	1	0.427
sub-24292	congruent	1	1.710
sub-24292	incongruent	1	0.461
sub-24292	congruent	1	0.303
sub-24292	incongruent	0	0.215
sub-24292	congruent	1	0.336
sub-24292	congruent	1	0.388
sub-24292	congruent	0	0.289
sub-24292	congruent	1	0.339
sub-24292	incongruent	0	0.303
sub-24292	incongruent	0	0.314
sub-24292	congruent	1	0.395
sub-24292	incongruent	0	0.289
