onset	duration	eye	startTime	stopTime
144.444	0.09	L	3207132	3207220
144.456	0.082	R	3207144	3207224
145.304	0.078	L	3207992	3208068
145.31	0.078	R	3207998	3208074
145.7	0.306	L	3208388	3208692
147.598	0.02	R	3210286	3210304
147.602	0.024	L	3210290	3210312
148.34	0.164	L	3211028	3211190
148.342	0.172	R	3211030	3211200
148.938	0.096	L	3211626	3211720
148.932	0.11	R	3211620	3211728
149.868	0.142	L	3212556	3212696
149.864	0.154	R	3212552	3212704
150.366	0.152	L	3213054	3213204
150.362	0.158	R	3213050	3213206
151.18	0.046	L	3213868	3213912
151.182	0.046	R	3213870	3213914
151.958	0.062	L	3214646	3214706
151.954	0.082	R	3214642	3214722
152.406	0.058	L	3215094	3215150
152.552	0.116	R	3215240	3215354
153.4	0.162	R	3216088	3216248
152.53	2.318	L	3215218	3217534
154.986	0.656	L	3217674	3218328
155.43	0.214	R	3218118	3218330
156.122	0.062	L	3218810	3218870
156.12	0.084	R	3218808	3218890
156.688	0.084	L	3219376	3219458
156.686	0.106	R	3219374	3219478
159.272	0.068	R	3221960	3222026
159.274	0.08	L	3221962	3222040
159.768	0.152	L	3222456	3222606
159.756	0.178	R	3222444	3222620
161.006	0.184	L	3223694	3223876
160.992	0.202	R	3223680	3223880
161.966	0.072	R	3224654	3224724
161.968	0.076	L	3224656	3224730
162.78	0.094	L	3225468	3225560
162.784	0.1	R	3225472	3225570
163.568	0.094	L	3226256	3226348
163.57	0.092	R	3226258	3226348
164.478	0.086	L	3227166	3227250
164.48	0.088	R	3227168	3227254
166.63	0.002	R	3229318	3229318
166.616	0.042	L	3229304	3229344
167.28	0.178	L	3229968	3230144
167.282	0.192	R	3229970	3230160
168.25	0.07	L	3230938	3231006
168.458	0.17	L	3231146	3231314
168.472	0.156	R	3231160	3231314
169.638	0.114	L	3232326	3232438
169.644	0.112	R	3232332	3232442
170.722	0.06	L	3233410	3233468
170.72	0.07	R	3233408	3233476
171.526	0.08	L	3234214	3234292
171.518	0.092	R	3234206	3234296
172.022	0.094	R	3234710	3234802
172.028	0.092	L	3234716	3234806
172.862	0.14	L	3235550	3235688
172.854	0.148	R	3235542	3235688
174.664	0.1	L	3237352	3237450
174.658	0.108	R	3237346	3237452
175.056	0.198	L	3237744	3237940
175.046	0.21	R	3237734	3237942
175.758	0.086	L	3238446	3238530
175.748	0.102	R	3238436	3238536
176.346	0.13	R	3239034	3239162
176.352	0.126	L	3239040	3239164
177.298	0.09	L	3239986	3240074
177.29	0.11	R	3239978	3240086
178.246	0.148	L	3240934	3241080
178.238	0.16	R	3240926	3241084
179.142	0.142	L	3241830	3241970
