onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
98.944	0.2	888212	888447	BlankScreen	VGS	16	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
99.179	1.0	888447	889485	ELCue	VGS	16	1	True	lime	460	[1035 1515  405  675]	[405 885 405 675]
121.598	2.0	910866	912903	ShowFixation	ANTI	17	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
123.635	0.2	912903	913138	BlankScreen	ANTI	17	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
123.87	1.0	913138	914138	ELCue	ANTI	17	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
125.276	6.0	914544	920573	ShowFixation	VGS	18	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
131.305	0.2	920573	920813	BlankScreen	VGS	18	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
131.545	1.0	920813	921813	ELCue	VGS	18	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
132.961	2.0	922229	924264	ShowFixation	VGS	19	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
134.996	0.2	924264	924500	BlankScreen	VGS	19	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
135.232	1.0	924500	925500	ELCue	VGS	19	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
136.654	6.0	925922	931951	ShowFixation	ANTI	20	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
142.683	0.2	931951	932191	BlankScreen	ANTI	20	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
142.923	1.0	932191	933191	ELCue	ANTI	20	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
144.346	6.0	933614	939642	ShowFixation	VGS	21	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
150.374	0.2	939642	939881	BlankScreen	VGS	21	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
150.613	1.0	939881	940881	ELCue	VGS	21	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
152.036	2.0	941304	943333	ShowFixation	VGS	22	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
154.065	0.2	943333	943568	BlankScreen	VGS	22	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
154.3	1.0	943568	944568	ELCue	VGS	22	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
155.719	6.0	944987	951020	ShowFixation	ANTI	23	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
161.752	0.2	951020	951259	BlankScreen	ANTI	23	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
161.991	1.0	951259	952259	ELCue	ANTI	23	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
163.415	2.0	952683	954711	ShowFixation	VGS	24	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
165.443	0.2	954711	954946	BlankScreen	VGS	24	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
165.678	1.0	954946	955946	ELCue	VGS	24	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
167.1	6.0	956368	962398	ShowFixation	ANTI	25	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
173.13	0.2	962398	962637	BlankScreen	ANTI	25	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
173.369	1.0	962637	963637	ELCue	ANTI	25	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
174.791	6.0	964059	970089	ShowFixation	ANTI	26	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
180.821	0.2	970089	970328	BlankScreen	ANTI	26	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
181.06	1.0	970328	971328	ELCue	ANTI	26	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
182.478	2.0	971746	973780	ShowFixation	ANTI	27	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
184.512	0.2	973780	974015	BlankScreen	ANTI	27	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
184.747	1.0	974015	975015	ELCue	ANTI	27	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
186.168	2.0	975436	977467	ShowFixation	ANTI	28	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
188.199	0.2	977467	977702	BlankScreen	ANTI	28	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
188.434	1.0	977702	978702	ELCue	ANTI	28	2	False	red	460	[405 885 405 675]	[1035 1515  405  675]
189.858	2.0	979126	981154	ShowFixation	ANTI	29	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
191.886	0.2	981154	981389	BlankScreen	ANTI	29	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
192.121	1.0	981389	982389	ELCue	ANTI	29	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
193.546	2.0	982814	984841	ShowFixation	ANTI	30	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
