onset	duration	eye	startTime	stopTime	xStart	yStart	xEnd	yEnd	ampDeg	vPeak
0.138	0.044	R	1215700	1215742	411.8	600.5	660.9	443.2	6.35	259
0.12	0.07	L	1215682	1215750	317.9	596.0	670.6	461.2	8.14	694
0.408	0.036	R	1215970	1216004	662.1	442.5	919.2	476.4	5.74	262
0.408	0.038	L	1215970	1216006	680.7	467.1	954.5	564.7	6.44	280
4.138	0.03	L	1219700	1219728	978.8	568.4	1103.7	580.1	2.82	126
4.138	0.034	R	1219700	1219732	952.3	455.2	1116.1	460.4	3.68	144
4.268	0.028	L	1219830	1219856	1143.8	564.8	974.7	540.3	3.84	213
4.268	0.028	R	1219830	1219856	1108.5	523.9	964.2	497.6	3.29	173
6.912	0.056	L	1222474	1222528	1001.7	543.1	366.0	513.5	13.75	367
6.914	0.058	R	1222476	1222532	962.7	512.5	372.9	494.0	12.75	324
7.178	0.042	R	1222740	1222780	358.9	513.6	358.7	492.2	0.47	107
7.442	0.04	R	1223004	1223042	336.4	527.2	339.9	534.7	0.18	136
7.544	0.044	R	1223106	1223148	338.4	510.7	327.5	485.7	0.59	115
8.432	0.02	R	1223994	1224012	885.1	493.4	921.9	512.3	0.92	64
8.43	0.024	L	1223992	1224014	883.4	552.2	945.9	549.0	1.39	85
11.022	0.038	R	1226584	1226620	994.0	504.8	736.4	488.7	5.69	215
11.022	0.04	L	1226584	1226622	969.0	571.6	674.3	565.0	6.50	267
11.336	0.116	R	1226898	1227012	734.9	491.9	2054.6	507.1	27.32	326
11.338	0.126	L	1226900	1227024	696.7	568.4	2043.1	520.0	27.78	362
11.61	0.044	L	1227172	1227214	2064.6	558.6	1636.7	557.0	8.71	391
11.612	0.042	R	1227174	1227214	2058.0	557.2	1648.0	489.1	8.48	318
12.096	0.022	R	1227658	1227678	1103.5	418.6	1061.2	501.9	2.08	158
12.368	0.026	L	1227930	1227954	1037.6	584.9	900.1	564.4	3.08	198
12.37	0.024	R	1227932	1227954	1063.2	512.8	970.8	500.3	2.07	130
12.524	0.218	L	1228086	1228302	883.2	576.9	856.1	557.8	0.73	909
12.528	0.22	R	1228090	1228308	981.2	477.4	923.6	452.8	1.38	1328
12.982	0.02	L	1228544	1228562	855.3	533.0	911.1	549.5	1.29	93
12.984	0.018	R	1228546	1228562	925.1	498.7	966.2	514.2	0.97	77
18.538	0.016	R	1234100	1234114	968.2	507.8	970.0	477.7	0.68	60
19.002	0.018	R	1234564	1234580	1002.0	464.0	1000.0	496.3	0.73	60
19.144	0.026	R	1234706	1234730	1006.5	497.9	941.5	440.7	1.93	111
19.146	0.03	L	1234708	1234736	1015.6	552.9	898.0	486.1	3.01	135
19.454	0.06	R	1235016	1235074	925.8	440.7	1624.4	561.5	15.45	382
19.454	0.062	L	1235016	1235076	897.1	483.6	1629.3	582.6	16.10	430
20.506	0.016	R	1236068	1236082	1055.0	483.3	1021.2	478.6	0.76	64
20.858	0.02	R	1236420	1236438	1002.0	488.3	952.1	485.6	1.11	81
20.86	0.02	L	1236422	1236440	990.1	547.1	942.4	544.0	1.06	77
21.302	0.018	R	1236864	1236880	947.0	482.6	979.1	493.9	0.76	58
23.872	0.058	L	1239434	1239490	977.7	582.3	1512.8	629.3	11.78	323
23.872	0.058	R	1239434	1239490	1008.4	503.2	1516.7	539.2	11.18	295
24.44	0.116	L	1240002	1240116	1518.0	642.2	61.7	527.5	29.79	472
24.44	0.116	R	1240002	1240116	1523.6	556.2	89.9	487.9	29.27	392
24.814	0.052	R	1240376	1240426	64.6	528.1	905.4	501.8	17.35	594
24.814	0.054	L	1240376	1240428	99.7	519.7	863.4	543.9	15.75	483
25.176	0.022	L	1240738	1240758	872.2	550.0	941.2	563.6	1.55	110
25.176	0.024	R	1240738	1240760	894.7	508.9	971.9	528.7	1.76	119
25.466	0.018	R	1241028	1241044	957.4	532.4	918.9	527.9	0.85	67
25.464	0.022	L	1241026	1241046	957.3	580.6	900.3	567.4	1.29	91
25.656	0.022	R	1241218	1241238	923.8	533.0	979.7	526.3	1.24	87
25.656	0.022	L	1241218	1241238	901.1	560.9	966.8	563.4	1.45	104
27.704	0.018	L	1243266	1243282	935.0	559.4	923.9	523.3	0.84	56
27.746	0.178	L	1243308	1243484	955.8	486.9	904.6	546.6	1.73	852
27.71	0.236	R	1243272	1243506	1013.8	529.7	993.0	529.9	0.46	951
31.904	0.03	L	1247466	1247494	978.8	581.6	1108.0	595.9	2.87	128
31.904	0.034	R	1247466	1247498	988.4	542.0	1154.9	545.7	3.68	149
32.08	0.03	L	1247642	1247670	1134.6	583.3	1260.7	612.2	2.85	138
32.082	0.028	R	1247644	1247670	1167.5	550.0	1296.0	566.4	2.85	155
33.282	0.028	R	1248844	1248870	1053.3	546.4	963.2	545.4	1.99	93
33.282	0.03	L	1248844	1248872	1040.9	573.7	917.2	539.9	2.83	134
33.576	0.016	L	1249138	1249152	903.2	550.0	869.1	546.1	0.76	64
34.004	0.02	L	1249566	1249584	893.8	555.4	944.5	551.0	1.12	81
34.006	0.018	R	1249568	1249584	942.4	553.2	978.5	551.4	0.80	61
36.324	0.02	R	1251886	1251904	980.7	539.9	1025.6	528.7	1.02	68
36.324	0.022	L	1251886	1251906	958.9	576.2	1011.0	565.5	1.17	71
36.468	0.02	R	1252030	1252048	1026.5	525.5	981.8	535.1	1.01	73
36.468	0.022	L	1252030	1252050	1014.2	560.7	954.5	570.1	1.33	96
40.444	0.126	L	1256006	1256130	957.0	597.2	159.4	600.1	16.55	229
40.444	0.128	R	1256006	1256132	963.5	543.4	160.2	565.7	16.66	168
40.7	0.032	L	1256262	1256292	146.5	602.9	372.8	558.4	4.65	239
40.7	0.034	R	1256262	1256294	120.1	584.2	423.2	576.0	6.09	323
40.842	0.03	L	1256404	1256432	387.2	571.6	161.5	607.7	4.61	252
40.842	0.032	R	1256404	1256434	411.6	583.4	144.4	589.0	5.38	300
42.022	0.018	L	1257584	1257600	184.0	604.7	148.2	609.7	0.71	57
42.55	0.06	R	1258112	1258170	158.4	615.5	942.2	530.3	16.38	423
42.55	0.062	L	1258112	1258172	200.7	614.4	908.8	559.4	14.75	365
42.74	0.018	L	1258302	1258318	921.2	563.3	955.8	559.9	0.76	60
44.256	0.018	R	1259818	1259834	969.9	529.5	1005.0	536.5	0.79	65
48.616	0.04	L	1264178	1264216	937.7	563.3	664.4	523.1	6.03	243
48.618	0.042	R	1264180	1264220	957.2	557.0	685.7	541.6	5.93	195
49.318	0.038	R	1264880	1264916	674.1	539.6	1021.7	519.1	7.60	324
49.318	0.042	L	1264880	1264920	643.4	518.4	949.3	511.3	6.68	250
49.46	0.07	L	1265022	1265090	999.9	523.6	1433.1	481.1	9.53	257
49.462	0.068	R	1265024	1265090	1040.3	531.2	1472.1	475.2	9.53	311
49.984	0.018	R	1265546	1265562	1105.6	516.2	1124.9	483.6	0.84	60
50.086	0.052	L	1265648	1265698	943.2	495.0	478.5	958.4	14.12	759
50.198	0.224	L	1265760	1265982	526.7	889.0	857.1	567.1	10.02	794
50.058	0.37	R	1265620	1265988	1117.9	465.1	930.5	555.7	4.59	1721
50.63	0.016	R	1266192	1266206	940.7	576.9	974.0	564.4	0.78	68
50.628	0.02	L	1266190	1266208	880.4	593.2	927.1	582.8	1.05	77
51.484	0.02	L	1267046	1267064	905.8	500.1	944.7	541.6	1.26	89
54.24	0.042	L	1269802	1269842	901.7	534.9	482.9	1080.2	14.95	692
54.242	0.044	R	1269804	1269846	1010.7	468.9	1746.3	962.7	19.12	1122
54.306	0.064	L	1269868	1269930	466.4	1048.5	919.7	540.0	14.79	628
54.314	0.066	R	1269876	1269940	1743.0	946.7	1007.6	478.3	18.84	809
56.76	0.018	R	1272322	1272338	974.7	539.4	943.7	528.9	0.72	56
56.76	0.018	L	1272322	1272338	975.8	569.3	937.7	556.1	0.89	69
56.996	0.032	L	1272558	1272588	925.6	563.2	706.0	527.1	4.89	259
56.998	0.04	R	1272560	1272598	939.8	543.0	694.7	542.8	5.37	188
57.156	0.02	L	1272718	1272736	685.8	544.6	638.0	536.8	1.05	90
57.156	0.02	R	1272718	1272736	691.0	559.3	646.5	563.4	0.97	75
57.39	0.022	R	1272952	1272972	649.9	546.3	588.9	536.1	1.33	97
57.388	0.024	L	1272950	1272972	635.9	520.9	539.4	480.2	2.25	155
